log10_age_yr,feh,initial_mass,log_Teff,log_g,log_L
8.699,-0.5,0.3,3.5422,5.0388,-2.0
8.699,-0.5,0.4,3.57302,4.837,-1.55
8.699,-0.5,0.5,3.59051,4.6539,-1.2
8.699,-0.5,0.6,3.62877,4.5361,-0.85
8.699,-0.5,0.7,3.67348,4.4319,-0.5
8.699,-0.5,0.8,3.71402,4.352,-0.2
8.699,-0.5,0.9,3.74712,4.4356,-0.1
8.699,-0.5,1.0,3.7719,4.4805,0.0
8.699,-0.5,1.1,3.78888,4.4698,0.12
8.699,-0.5,1.2,3.8066,4.4385,0.26
8.699,-0.5,1.4,3.8368,4.3362,0.55
8.699,-0.5,1.6,3.85891,4.1826,0.85
8.699,-0.5,1.8,3.89721,4.087,1.15
8.699,-0.5,2.0,3.94014,4.0045,1.45
8.699,-0.5,2.5,4.00195,3.8486,1.95
8.699,-0.5,3.0,4.05212,3.7285,2.35
9.0,-0.5,0.3,3.5422,5.0388,-2.0
9.0,-0.5,0.4,3.57302,4.837,-1.55
9.0,-0.5,0.5,3.59051,4.6539,-1.2
9.0,-0.5,0.6,3.62877,4.5361,-0.85
9.0,-0.5,0.7,3.67348,4.4319,-0.5
9.0,-0.5,0.8,3.71402,4.352,-0.2
9.0,-0.5,0.9,3.74712,4.4356,-0.1
9.0,-0.5,1.0,3.7719,4.4805,0.0
9.0,-0.5,1.1,3.78888,4.4698,0.12
9.0,-0.5,1.2,3.8066,4.4385,0.26
9.0,-0.5,1.4,3.8368,4.3362,0.55
9.0,-0.5,1.6,3.85891,4.1826,0.85
9.0,-0.5,1.8,3.89721,4.087,1.15
9.0,-0.5,2.0,3.94014,4.0045,1.45
9.0,-0.5,2.5,4.00195,3.8486,1.95
9.0,-0.5,3.0,4.02603,3.4492,2.5249
9.301,-0.5,0.3,3.5422,5.0388,-2.0
9.301,-0.5,0.4,3.57302,4.837,-1.55
9.301,-0.5,0.5,3.59051,4.6539,-1.2
9.301,-0.5,0.6,3.62877,4.5361,-0.85
9.301,-0.5,0.7,3.67348,4.4319,-0.5
9.301,-0.5,0.8,3.71402,4.352,-0.2
9.301,-0.5,0.9,3.74712,4.4356,-0.1
9.301,-0.5,1.0,3.7719,4.4805,0.0
9.301,-0.5,1.1,3.78888,4.4698,0.12
9.301,-0.5,1.2,3.8066,4.4385,0.26
9.301,-0.5,1.4,3.8368,4.3362,0.55
9.301,-0.5,1.6,3.85891,4.1826,0.85
9.301,-0.5,1.8,3.89721,4.087,1.15
9.301,-0.5,2.0,3.9335,3.9323,1.4956
9.301,-0.5,2.5,3.95909,3.3952,2.2319
9.301,-0.5,3.0,3.96974,2.8806,2.8683
9.699,-0.5,0.3,3.5422,5.0388,-2.0
9.699,-0.5,0.4,3.57302,4.837,-1.55
9.699,-0.5,0.5,3.59051,4.6539,-1.2
9.699,-0.5,0.6,3.62877,4.5361,-0.85
9.699,-0.5,0.7,3.67348,4.4319,-0.5
9.699,-0.5,0.8,3.71402,4.352,-0.2
9.699,-0.5,0.9,3.74712,4.4356,-0.1
9.699,-0.5,1.0,3.7719,4.4805,0.0
9.699,-0.5,1.1,3.78888,4.4698,0.12
9.699,-0.5,1.2,3.8066,4.4385,0.26
9.699,-0.5,1.4,3.82878,4.2492,0.6049
9.699,-0.5,1.6,3.83029,3.8769,1.0413
9.699,-0.5,1.8,3.84697,3.5583,1.4777
9.699,-0.5,2.0,3.86715,3.2483,1.9141
9.699,-0.5,2.5,3.86623,2.5005,2.7552
9.699,-0.5,3.0,3.84305,1.746,3.4962
9.9031,-0.5,0.3,3.5422,5.0388,-2.0
9.9031,-0.5,0.4,3.57302,4.837,-1.55
9.9031,-0.5,0.5,3.59051,4.6539,-1.2
9.9031,-0.5,0.6,3.62877,4.5361,-0.85
9.9031,-0.5,0.7,3.67348,4.4319,-0.5
9.9031,-0.5,0.8,3.71402,4.352,-0.2
9.9031,-0.5,0.9,3.74712,4.4356,-0.1
9.9031,-0.5,1.0,3.7719,4.4805,0.0
9.9031,-0.5,1.1,3.78808,4.4611,0.1255
9.9031,-0.5,1.2,3.79371,4.2991,0.3478
9.9031,-0.5,1.4,3.79863,3.9311,0.8024
9.9031,-0.5,1.6,3.79391,3.5056,1.267
9.9031,-0.5,1.8,3.80361,3.1309,1.7317
9.9031,-0.5,2.0,3.81592,2.7613,2.1963
9.9031,-0.5,2.5,3.79015,1.8435,3.1079
9.9031,-0.5,3.0,3.79248,1.3399,3.7
10.0792,-0.5,0.3,3.5422,5.0388,-2.0
10.0792,-0.5,0.4,3.57302,4.837,-1.55
10.0792,-0.5,0.5,3.59051,4.6539,-1.2
10.0792,-0.5,0.6,3.62877,4.5361,-0.85
10.0792,-0.5,0.7,3.67348,4.4319,-0.5
10.0792,-0.5,0.8,3.71402,4.352,-0.2
10.0792,-0.5,0.9,3.74712,4.4356,-0.1
10.0792,-0.5,1.0,3.76193,4.3725,0.0681
10.0792,-0.5,1.1,3.76432,4.2067,0.2849
