alpha,rep,da,n_t,n_n
0.1,0,0.026421404682274274,131,178
0.1,1,0.43595317725752514,131,178
0.1,2,0.026421404682274274,131,178
0.1,3,0.22458193979933105,131,178
0.1,4,-0.33026755852842804,131,178
0.1,5,0.06605351170568563,131,178
0.1,6,0.198160535117057,131,178
0.1,7,0.0924749163879599,131,178
0.1,8,-0.05284280936454844,131,178
0.1,9,-0.06605351170568563,131,178
0.1,10,0.10568561872909699,131,178
0.1,11,-0.22458193979933105,131,178
0.3,0,0.07926421404682271,131,178
0.3,1,-0.1849498327759198,131,178
0.3,2,-0.013210702341137082,131,178
0.3,3,-0.1056856187290971,131,178
0.3,4,0.2906354515050168,131,178
0.3,5,-0.11889632107023418,131,178
0.3,6,-0.3963210702341138,131,178
0.3,7,0.2642140468227424,131,178
0.3,8,-0.09247491638796002,131,178
0.3,9,-0.21137123745819397,131,178
0.3,10,0.43595317725752514,131,178
0.3,11,0.10568561872909688,131,178
