alpha,rep,twin,sdss_id,K1,n_ep,loglike
0.10,0,0,54795180,13.9532,9,-32.0300;-40.2206;-37.3393;-40.0524;-41.1527;-34.7603;-41.4653;-40.4665;-38.7263;-38.6917;-37.4030;-37.8417;-34.7088;-36.9225;-38.0052;-39.9737;-43.9516;-32.8989;-34.8614;-40.4852;-39.6685;-41.7005;-33.2428;-40.0526;-40.3902;-36.8495;-40.2291;-35.3328;-27.9069;-32.3653;-37.8727;-26.7231;-43.5256;-39.5527;-31.0711;-37.8757
0.10,0,1,55746613,54.1554,16,-147.6050;-132.2959;-131.4945;-139.9722;-144.9342;-145.2299;-134.3048;-134.4484;-154.6065;-136.4606;-143.0022;-146.4808;-140.1951;-136.4509;-146.3213;-154.6003;-149.8996;-165.7310;-128.3657;-151.3884;-152.9932;-148.8893;-165.1467;-184.7395;-141.4528;-151.5336;-176.0216;-114.0425;-99.5479;-120.9758;-67.5198;-124.5274;-81.0473;-74.3911;-61.2745;-49.1341
0.10,0,0,55746683,18.3542,16,-46.2744;-40.0950;-77.3479;-94.7145;-40.1933;-48.7603;-53.7383;-88.2548;-47.6962;-62.8489;-52.8911;-53.0180;-57.9793;-44.9782;-69.4411;-46.4043;-43.3990;-74.2559;-91.2742;-80.8871;-98.1649;-110.7607;-93.7897;-99.1273;-111.5459;-98.7255;-75.2829;-127.3831;-102.1321;-111.1819;-105.3697;-112.1929;-102.3615;-123.0191;-121.7749;-107.5696
0.10,0,0,55746684,45.4255,12,-261.6414;-266.6248;-198.5198;-254.8965;-313.3946;-217.6316;-214.4161;-255.6917;-218.7663;-229.8440;-279.4297;-184.4165;-210.7455;-276.1544;-315.1902;-250.6638;-223.9853;-244.4085;-219.0295;-156.6725;-184.8148;-171.5843;-168.5783;-167.3943;-171.7268;-160.1807;-124.0294;-130.6484;-149.7371;-125.2900;-164.3774;-168.0764;-71.2704;-134.9970;-130.5403;-184.3796
0.10,0,1,55747073,45.9675,13,-425.2384;-343.6051;-367.9740;-388.6319;-322.1524;-365.5929;-351.9119;-356.9664;-366.1199;-314.7861;-335.5596;-379.9436;-334.9699;-318.8958;-390.9459;-327.1759;-334.8935;-305.0245;-365.8208;-239.4486;-289.6870;-339.2268;-244.2431;-253.4862;-298.6730;-328.8739;-296.0201;-262.2296;-63.1734;-216.8152;-343.3948;-401.6503;-419.3302;-303.0143;-356.2933;-367.2014
0.10,0,0,55747301,50.4980,11,-292.8205;-389.9726;-223.3922;-329.3232;-390.3701;-306.9667;-342.1608;-247.2805;-370.0107;-340.9251;-338.5355;-365.0044;-295.9431;-303.7698;-298.2908;-346.9058;-311.3574;-389.8877;-357.8953;-315.7257;-335.4044;-324.7710;-188.0073;-498.1424;-407.4959;-379.5068;-278.8925;-423.9833;-533.0345;-525.3445;-578.0508;-529.2538;-467.7796;-401.4809;-498.0624;-459.2395
0.10,0,1,55748317,27.1783,16,-80.0049;-95.4705;-83.6352;-84.7566;-190.4813;-142.6792;-97.6580;-90.4366;-163.1708;-147.8680;-173.3297;-203.3702;-84.0505;-190.9325;-49.4501;-119.3522;-147.6601;-79.6457;-208.4545;-222.0277;-195.2877;-257.5284;-268.0982;-250.5310;-232.0019;-277.9788;-313.8396;-327.4273;-200.9189;-201.1771;-198.5671;-303.8298;-194.7425;-282.0139;-127.1026;-232.9382
0.10,0,1,55748550,15.2565,16,-91.4132;-105.7631;-109.1334;-102.5519;-97.9797;-105.7666;-104.2164;-108.6565;-102.1641;-110.2394;-108.6037;-101.6732;-106.5098;-105.8582;-104.5403;-82.6300;-85.4620;-91.6971;-94.1344;-84.6011;-105.1810;-100.6582;-82.8459;-85.7769;-66.1774;-75.5296;-97.5854;-94.0803;-92.3845;-106.7894;-111.4601;-99.3180;-112.9634;-94.7922;-69.0078;-70.1625
0.10,0,0,55749495,20.3157,12,-128.5779;-92.6786;-105.2185;-162.8391;-232.5498;-163.5242;-102.4840;-201.1125;-133.3710;-152.2907;-201.7318;-156.6109;-187.4763;-227.9573;-147.7767;-212.5574;-197.0978;-147.9913;-153.9473;-124.9668;-142.1926;-137.2786;-110.6979;-63.9418;-70.4470;-66.8881;-65.7038;-54.6687;-57.9084;-59.6486;-40.5820;-49.0994;-53.4342;-55.8661;-57.5606;-64.8359
0.10,0,0,55764438,24.4739,8,-115.1830;-130.9918;-98.3947;-79.5824;-82.4894;-132.1060;-125.6728;-90.3030;-97.2236;-130.4376;-123.5487;-89.4657;-78.7197;-118.7426;-101.9831;-67.4895;-125.4898;-107.6258;-108.3124;-101.3101;-92.3183;-63.5474;-76.9174;-54.5658;-82.8980;-83.9516;-31.9341;-46.0496;-63.4857;-73.6229;-48.7145;-56.8317;-90.2481;-100.8737;-30.6849;-40.8871
