sdss_id,gaia_dr3_source_id,in_kovalev22,in_kovalev24,in_kounkel21,kounkel_sep_arcsec,kounkel_id,removed_by_our_preliminary_pass,in_training_half,in_heldout_controls
54386702,421935839115358848,0,0,1,0.521,2M00224820+5648307,1,0,0
54393897,422590873168873600,0,0,1,0.283,2M00015725+5726512,1,0,0
54545231,433250913271781888,0,0,1,0.377,2M03033759+4507204,1,0,0
54560688,435069161905916416,0,0,1,0.432,2M03142472+4720598,1,0,0
54563143,435427946296584960,0,0,1,0.606,2M03220975+4834024,0,1,0
54622528,442724305458783360,0,0,1,0.396,2M03222918+5134159,1,0,0
54651192,446197009856542080,0,0,1,1.340,2M03110855+5251034,0,1,0
54674424,448990387865341440,0,1,0,,,0,0,1
54682017,449924590492194432,0,1,0,,,0,0,1
54768053,457096331189362432,0,1,0,,,0,1,0
54779606,457863893382760064,0,1,0,,,0,0,1
54795180,458569642410661120,0,0,1,0.233,2M02190194+5724199,1,0,0
54866486,464742227666270464,0,0,1,0.167,2M02465133+6008158,1,0,0
54866727,464760992382523136,0,0,1,0.134,2M02500914+6023160,0,1,0
54876660,465445232212649216,0,0,1,0.050,2M02311912+6059176,1,0,0
54877785,465527695587274496,0,0,1,0.119,2M02325555+6125025,1,0,0
54880071,465643316106684032,0,0,1,1.141,2M02400248+6107442,0,1,0
54883990,465844835970354560,0,0,1,0.273,2M02370808+6124079,0,1,0
54910094,467879581016490752,0,1,0,,,1,0,0
54940607,470651866449326592,1,1,0,,,0,1,0
54943931,471046007006540288,0,0,1,0.178,2M04222563+5933026,0,0,1
54968478,474045814022929280,0,1,0,,,0,1,0
55013296,480425871977547264,0,0,1,0.418,2M05494947+6621246,1,0,0
55017600,481214874653783168,0,0,1,0.110,2M05300357+6703107,1,0,0
55061757,487856126742794240,0,1,0,,,1,0,0
55062932,487989133292557184,0,0,1,0.119,2M03345631+6419248,1,0,0
55088000,491442424434959616,0,1,0,,,1,0,0
55103357,493360320610624000,0,1,0,,,0,0,1
55108987,494284735012767104,0,0,1,1.077,2M03364998+6818397,0,1,0
55109634,494382351028082432,0,0,1,0.397,2M03375292+6854070,1,0,0
55110384,494495909963016320,0,0,1,0.215,2M03422154+6927153,1,0,0
55110549,494521950345923968,0,0,1,0.037,2M03441134+6935572,0,0,1
55110674,494544318537301376,0,0,1,0.185,2M03453408+6955082,1,0,0
55112471,494838991951237120,0,0,1,0.030,2M03503468+6937295,0,0,1
55118285,495851264203704320,0,1,0,,,1,0,0
55216383,507692587820408832,0,0,1,0.099,2M02171238+6120323,1,0,0
55304174,513688916221212160,0,1,0,,,0,0,1
55345638,516690303785992832,0,1,0,,,0,0,1
55496110,530368679410943488,0,0,1,0.032,2M00193038+6858408,1,0,0
55500142,530909673491926784,0,0,1,0.239,2M00254729+7011069,1,0,0
55556904,537848553935043712,0,0,1,0.085,2M00194158+7350330,1,0,0
55656023,554919296588518400,0,0,1,1.242,2M03584558+7841217,0,0,1
55658099,555333606312979328,0,0,1,0.417,2M03322956+7835151,0,0,1
55659078,555540211419918848,0,0,1,0.083,2M03320943+7901322,1,0,0
55720062,567650576085477248,0,0,1,0.665,2M03170249+7945154,1,0,0
55720186,567675143298285568,0,0,1,0.060,2M03094422+7941129,1,0,0
55745770,573335463518512384,0,0,1,0.121,2M00594811+8421301,0,0,1
55746127,573411158022152576,0,0,1,0.703,2M00430905+8407348,1,0,0
55746553,573488742311208960,0,0,1,0.232,2M00090703+8427517,1,0,0
55746839,573543168137997440,0,0,1,0.075,2M00463801+8441448,1,0,0
55747301,573617110294726144,0,0,1,0.534,2M00155291+8507242,0,0,1
55747525,573667962706222720,0,0,1,0.877,2M01193634+8435481,0,0,1
55749244,573942393936854016,0,0,1,0.335,2M00441812+8516024,1,0,0
55759638,576630489410967808,0,0,1,0.719,2M09030831+0100546,1,0,0
55771406,578274091791263104,0,0,1,1.123,2M08591064+0313160,1,0,0
55772241,578387925604534144,0,1,1,0.224,2M09013180+0338598,0,0,1
55800598,582661589863039104,0,1,0,,,0,1,0
55819236,585896073898244096,0,0,1,0.312,2M09215608+0608208,1,0,0
55895571,598765793077419136,0,1,0,,,0,1,0
55895636,598775276365266304,0,0,1,0.102,2M08444019+1044454,1,0,0
55896564,598886052161980160,0,0,1,0.273,2M08511588+1127245,1,0,0
55896620,598889900452561024,0,0,1,0.238,2M08504364+1129326,0,1,0
55897308,598960436699728256,0,0,1,0.262,2M08490965+1148267,1,0,0
55901709,599503256142744064,0,0,1,0.189,2M08242086+0907384,1,0,0
55904669,599960412461598080,0,0,1,0.585,2M08284516+1003068,0,1,0
55908095,600388294284809088,0,0,1,0.161,2M08175114+0907518,0,1,0
55911394,600782469202673920,0,1,1,0.179,2M08265657+1025217,0,0,1
55912463,600931895408068096,0,0,1,0.257,2M08282274+1100099,0,0,1
55918700,601792916091838720,0,0,1,0.458,2M08371800+1158357,1,0,0
55919418,601896343200053504,1,0,0,,,0,1,0
55919538,601914858803378688,0,0,1,0.106,2M08435006+1146034,1,0,0
55919553,601916164473434624,1,1,1,0.468,2M08434597+1149016,0,0,1
55920135,602006534880977792,0,1,0,,,0,0,1
55920603,602086593071926528,0,0,1,0.249,2M08413005+1142053,1,0,0
55920883,602136341676843008,0,0,1,0.212,2M08405390+1208167,0,1,0
55921437,602226776508211328,1,0,0,,,0,0,1
55921470,602233996349608192,1,1,1,0.130,2M08424145+1214556,1,0,0
55923186,602508633738790272,0,0,1,0.212,2M08354523+1141588,1,0,0
55924506,602707507904302720,0,0,1,0.218,2M08301367+1215213,1,0,0
55936305,604636429255599360,0,0,1,0.173,2M08542841+1113088,0,0,1
55938293,604897803786032768,1,1,1,0.167,2M08511759+1139359,0,0,1
55938494,604907592015745792,0,0,1,0.227,2M08504511+1136023,0,0,1
55938542,604909760974981120,0,0,1,0.150,2M08511840+1141041,0,1,0
55938702,604916048806915200,0,0,1,0.238,2M08504960+1151162,0,1,0
55938786,604917629355038720,0,0,1,0.176,2M08512408+1148218,1,0,0
55938918,604920584292557440,0,0,1,0.264,2M08510890+1148377,1,0,0
55939032,604922985178465152,0,0,1,0.136,2M08512940+1154138,1,0,0
55939036,604923126912959104,0,0,1,0.150,2M08513206+1155085,1,0,0
55939549,604964083721158656,0,1,0,,,0,0,1
55939639,604969787437702784,0,0,1,0.190,2M08505498+1156503,0,0,1
55940396,605047784043173760,0,0,1,0.790,2M08545897+1225409,0,0,1
55956718,607753819598026496,0,1,1,0.084,2M09102284+1543249,0,1,0
55961039,608347555877877632,0,0,1,0.090,2M08452498+1311138,1,0,0
55969455,609526197983048064,0,0,1,0.630,2M08402255+1452174,0,0,1
55969555,609538945446066176,0,0,1,0.080,2M08424439+1436398,0,1,0
55973720,610178723774267392,0,0,1,0.177,2M08481617+1617247,1,0,0
55984107,611652859629012096,0,1,0,,,0,0,1
55985241,611781708648336128,1,1,1,0.754,2M08511905+1723554,0,1,0
56089556,631916584051060480,0,0,1,0.427,2M09135192+1629202,1,0,0
56116969,636948086698425984,0,0,1,0.162,2M09135509+2055246,0,1,0
56117683,637078649408856320,0,0,1,0.021,2M09073167+2056329,0,0,1
56117797,637099578785588864,0,0,1,0.184,2M09092077+2108261,1,0,0
56194526,650393842598430592,0,1,1,0.525,2M08195067+1312193,0,0,1
56200541,651154257966794240,0,0,1,0.177,2M08212333+1324427,1,0,0
56206899,652035276019491328,0,1,0,,,0,1,0
56229835,654533847473428864,0,0,1,0.439,2M07534223+1441434,1,0,0
56239143,655492655972932864,0,0,1,0.150,2M08161258+1537372,1,0,0
56245047,656243794212945024,0,0,1,0.097,2M08172229+1713242,1,0,0
56245433,656297704643053312,1,1,1,0.318,2M08220946+1725151,0,0,1
56245451,656300350342911872,1,1,1,0.209,2M08214303+1727499,0,0,1
56270349,659702514196462464,0,0,1,0.277,2M08391498+1903237,1,0,0
56270859,659777074828577024,0,0,1,0.529,2M08372419+1925012,0,0,1
56280775,661042337834096000,0,1,1,0.163,2M08431752+1922035,0,0,1
56282513,661269043386545536,0,0,1,0.643,2M08392858+1928251,1,0,0
56283862,661432114706420096,0,0,1,0.223,2M08425759+2009289,1,0,0
56286840,661843813091122176,0,0,1,0.051,2M08433515+2050230,0,1,0
56290665,662368451937407616,0,0,1,0.779,2M08235811+1812041,1,0,0
56291556,662489157698114688,1,1,0,,,0,0,1
56293320,662745515705743872,0,0,1,0.033,2M08354835+1910120,0,1,0
