sdss_id,n_visits_rv,dv_rad_max,v_rad_std,v_rad_median,mjd_span
54381610,1,,,1.643,
54384153,1,,,23.378,
54385169,3,0.104,0.046,8.155,30.00
54385622,6,0.806,0.308,-75.678,31.00
54385706,3,70.831,33.151,9.793,32.00
54386478,12,0.252,0.064,-27.452,351.00
54386702,3,4.209,1.981,0.378,327.00
54386765,3,7.813,3.562,10.129,54.00
54387752,1,,,-10.367,
54388588,1,,,-52.846,
54389693,6,20.205,7.998,-47.298,32.00
54389733,4,5.545,2.120,-29.180,766.00
54390292,1,,,-20.556,
54392424,4,7.983,3.770,-6.938,20.00
54393853,4,4.892,2.257,-32.164,23.00
54393897,2,5.683,2.842,5.638,85.00
54394121,5,0.157,0.055,-17.773,708.00
54394188,1,,,-1.588,
54394250,2,0.264,0.132,1.149,688.00
54394612,3,5.517,2.410,-15.464,691.00
54394670,5,0.287,0.110,-89.975,708.00
54395405,4,17.559,6.233,-52.678,708.00
54395451,4,0.442,0.210,22.103,708.00
54396129,4,5.243,2.057,1.751,766.00
54396709,4,300.291,114.195,-97.292,766.00
54396734,3,17.105,7.549,-30.528,17.00
54397282,4,0.221,0.083,-22.073,20.00
54397291,3,0.464,0.213,-6.378,17.00
54397382,3,0.322,0.143,-6.152,17.00
54397488,3,1.250,0.510,-7.379,17.00
54397695,4,1.383,0.563,-16.784,766.00
54397987,4,1.007,0.367,-6.354,710.00
54399167,4,20.964,7.623,-29.474,20.00
54399573,4,0.099,0.042,-27.686,20.00
54399663,3,3.862,1.601,-3.642,17.00
54399693,3,1.725,0.731,-6.221,17.00
54400117,3,1892.876,881.013,865.474,17.00
54400171,5,23.792,9.396,-17.544,708.00
54400542,4,0.315,0.123,-8.398,20.00
54401622,4,0.627,0.233,-2.372,20.00
54405967,1,,,-22.556,
54409841,1,,,34.205,
54422124,3,4.118,1.713,-16.243,32.00
54423703,7,0.671,0.240,17.124,3746.00
54423798,5,8.051,3.177,-59.226,32.00
54440324,1,,,6.224,
54448939,1,,,-3.625,
54450824,1,,,-74.534,
54454792,1,,,-18.725,
54460893,1,,,-13.163,
54461958,2,0.045,0.023,-27.019,25.00
54464492,3,0.451,0.184,23.827,32.00
54464925,3,0.046,0.021,-3.497,26.00
54465011,12,2.691,1.176,11.047,351.00
54465345,6,0.536,0.196,-9.670,32.00
54466079,6,62.117,21.964,-55.291,32.00
54467620,6,0.252,0.074,-9.988,31.00
54469040,6,12.133,4.713,1.488,32.00
54469227,6,0.402,0.155,-23.790,31.00
54470424,1,,,-19.816,
54471222,3,20.916,8.927,5.994,26.00
54471436,6,11.171,4.660,-22.332,32.00
54471875,1,,,-100.335,
54471885,3,0.446,0.186,-50.150,32.00
54472241,12,0.735,0.232,-1.236,351.00
54473007,6,0.372,0.141,-2.427,32.00
54473258,3,0.116,0.051,-16.485,32.00
54475573,2,0.060,0.030,-17.985,27.00
54478906,3,14.600,6.796,-39.126,17.00
54479077,4,6.027,2.232,-6.275,710.00
54479340,3,0.167,0.070,17.351,17.00
54479787,3,0.042,0.017,-98.439,17.00
54480429,3,54.703,22.993,-24.913,17.00
54482583,3,0.090,0.037,-12.795,17.00
54483944,3,0.502,0.207,-10.997,63.00
54490911,1,,,-10.169,
54491289,1,,,-14.407,
54492996,1,,,-35.538,
54494736,1,,,-37.569,
54497627,19,54.362,13.079,-41.335,702.00
54499556,6,2.526,0.982,-9.176,32.00
54500046,2,0.058,0.029,-49.913,3.00
54500225,6,1.699,0.544,-38.136,52.00
54501108,1,,,11.974,
54501446,1,,,-12.435,
54504732,12,87.833,23.611,-41.940,401.00
54504822,12,5.954,2.503,-21.096,401.00
54504911,12,123.489,38.230,-20.628,401.00
54505373,3,674.925,278.054,738.681,31.00
54505788,6,0.213,0.075,45.368,44.00
54505994,12,1.500,0.395,27.369,401.00
54506950,6,14.304,5.476,-39.350,52.00
54507832,1,,,-138.828,
54508552,2,5.956,2.978,-118.867,25.00
54508934,3,1.381,0.565,-7.717,29.00
54508955,6,38.279,14.836,-7.790,52.00
54511390,1,,,8.432,
54511889,1,,,-23.234,
54512248,15,1.015,0.294,-19.050,4127.00
54512466,4,3.325,1.297,4.993,57.00
54513278,3,1.054,0.447,-5.230,56.00
54514744,4,22.784,8.208,-2.478,57.00
54514992,1,,,5.283,
54515767,1,,,14.166,
54515768,1,,,9.080,
54516065,1,,,10.411,
54516149,6,12.727,4.538,-20.394,44.00
54518238,3,0.629,0.284,-9.197,31.00
54518587,2,30.152,15.076,-40.429,26.00
54518797,4,0.180,0.083,-7.998,109.00
54521039,1,,,-5.000,
54522465,1,,,-21.186,
54524668,1,,,2.190,
54526170,1,,,-27.296,
54527184,4,4.537,1.702,-4.271,47.00
54527238,1,,,-30.097,
54529098,1,,,4.815,
54531049,1,,,21.388,
54534039,1,,,-43.268,
54534296,1,,,-12.951,
54542120,4,1.419,0.665,-65.573,247.00
54543259,3,0.651,0.289,-3.935,55.00
54544889,3,0.132,0.054,-14.479,55.00
54545231,3,5.139,2.386,-4.917,55.00
54548780,4,5.655,2.142,-12.286,247.00
54552239,4,7.322,3.346,-47.952,247.00
54560677,4,4.246,1.888,-67.521,29.00
54560688,4,0.282,0.102,8.377,29.00
54562621,6,1.243,0.428,0.664,625.00
54562958,4,2.556,1.150,-35.111,29.00
54562981,6,14.017,4.388,0.407,625.00
54562987,6,0.371,0.140,-0.341,625.00
54563007,6,0.585,0.210,0.694,625.00
54563143,6,52.757,18.302,21.617,625.00
54563198,6,13.767,4.380,0.067,625.00
54563223,6,25.196,8.070,-4.885,625.00
54563570,6,53.188,16.605,-75.784,85.00
54563825,4,0.155,0.057,-46.277,29.00
54564085,6,0.729,0.297,-1.037,625.00
54564279,6,0.601,0.180,-0.572,625.00
54564586,6,1.639,0.586,-0.453,625.00
54564678,5,6.387,2.108,0.097,598.00
54564680,6,0.439,0.186,-9.116,625.00
54564781,6,0.510,0.191,-0.754,625.00
54569253,7,60.901,19.943,533.387,85.00
54572444,2,0.110,0.055,-43.611,3.00
54583560,4,0.935,0.378,-28.775,54.00
54586386,3,0.407,0.181,-85.265,34.00
54587434,4,0.467,0.172,48.691,54.00
54599678,2,18.581,9.290,6.402,3.00
54599749,2,0.009,0.005,1.383,3.00
54611144,6,0.340,0.119,0.462,625.00
54611168,6,0.372,0.136,-0.337,625.00
54611190,6,0.285,0.099,0.138,625.00
54611246,6,26.758,9.413,7.941,625.00
54611253,6,1.052,0.335,-0.888,625.00
54611303,6,0.590,0.187,-0.341,625.00
54611319,6,1.244,0.445,-0.456,625.00
54611358,6,0.719,0.252,0.345,625.00
54611402,6,21.622,8.791,1.813,625.00
54611478,6,0.682,0.242,0.297,625.00
54611510,6,18.130,5.821,-2.886,625.00
54611546,6,0.364,0.124,0.048,625.00
54611556,6,0.345,0.108,0.300,625.00
54611664,6,19.956,6.414,-2.126,625.00
54611671,6,0.460,0.158,-0.133,625.00
54611712,6,9.077,2.680,-2.605,625.00
54611800,6,0.397,0.119,-1.398,625.00
54611953,6,0.323,0.114,0.405,625.00
54612237,6,54.836,17.289,15.091,625.00
54612413,6,3.019,0.913,2.965,625.00
54612431,6,0.332,0.105,0.262,625.00
54613200,6,8.378,2.881,-0.582,625.00
54613915,6,4.342,1.467,1.573,625.00
54614009,2,0.084,0.042,-0.473,327.00
54614105,6,0.610,0.194,1.059,625.00
54614453,6,0.830,0.346,-1.182,625.00
54614506,6,0.412,0.152,-0.662,625.00
54614569,6,0.267,0.105,-0.956,625.00
54614831,6,1.748,0.576,-0.557,625.00
54614903,6,0.293,0.094,-0.308,625.00
54615057,6,0.500,0.212,-0.636,625.00
54615111,6,0.186,0.058,-22.888,625.00
54616014,6,0.350,0.117,1.215,625.00
54622528,5,35.952,14.166,-3.482,2988.00
54622873,2,7.967,3.984,-16.491,3.00
54623177,2,0.099,0.050,22.594,3.00
54623423,2,0.032,0.016,-74.315,3.00
54624478,2,0.035,0.018,27.605,3.00
54624833,2,16.418,8.209,-13.104,3.00
54626661,3,0.077,0.033,-15.935,31.00
54626690,3,30.434,12.886,-49.102,31.00
54626869,1,,,26.983,
54628509,1,,,2.879,
54628878,1,,,1.323,
54630771,1,,,-8.779,
54634091,3,0.499,0.215,-65.441,56.00
54634636,2,9.899,4.949,-22.157,29.00
54635100,1,,,4.728,
54635333,2,13.357,6.678,11.412,30.00
54637421,1,,,-30.984,
54637504,1,,,18.381,
54637866,1,,,27.270,
54638500,1,,,2.131,
54639642,1,,,-3.349,
54640328,1,,,2.279,
54640532,1,,,23.189,
54640654,1,,,-45.209,
54641152,1,,,-8.790,
54641874,1,,,48.964,
54642121,1,,,16.948,
54643075,1,,,83.835,
54644103,1,,,-21.189,
54644339,3,0.298,0.132,13.271,56.00
54644679,7,34.361,14.048,-12.802,2959.00
54645630,3,32.516,13.333,-17.674,57.00
54646609,1,,,0.615,
54648261,1,,,32.168,
54648426,1,,,-2.685,
54649030,2,35.412,17.706,-27.732,3.00
54649341,2,0.051,0.026,-65.566,3.00
54650235,2,2.354,1.177,21.697,3.00
54651192,3,12.675,5.444,45.725,686.00
54651312,3,4.882,2.294,8.105,686.00
54653258,2,0.237,0.119,17.897,1.00
54653691,1,,,3.658,
54654882,1,,,17.097,
54655400,1,,,-64.744,
54655501,1,,,15.034,
54656369,1,,,15.661,
54656473,1,,,-3.983,
54657066,1,,,5.883,
54659108,1,,,-20.360,
54660789,2,19.175,9.588,-8.646,26.00
54662577,1,,,25.201,
54663104,1,,,16.628,
54664182,1,,,13.634,
54664743,1,,,-21.731,
54665250,1,,,45.553,
54665295,2,0.170,0.085,13.822,19.00
54666554,1,,,-0.289,
54668042,1,,,9.849,
54670165,3,52.772,22.372,-16.265,56.00
54670617,1,,,-75.166,
54671659,1,,,51.140,
54672109,3,2.161,0.886,-23.611,56.00
54672130,2,1.041,0.520,1.534,29.00
54672630,1,,,-15.817,
54672729,1,,,-18.611,
54673904,2,19.777,9.889,-39.753,20.00
54673997,2,1.499,0.749,-99.609,20.00
54674424,2,76.137,38.068,39.296,30.00
54675195,1,,,-16.341,
54675254,2,0.224,0.112,-5.058,30.00
54676304,1,,,-1.249,
54676715,1,,,-73.920,
54677364,1,,,10.677,
54678217,1,,,13.951,
54678857,1,,,19.164,
54678861,1,,,0.789,
54679643,1,,,16.724,
54679703,1,,,-32.747,
54680845,16,0.931,0.264,-13.259,283.00
54680880,2,0.300,0.150,-23.457,223.00
54680914,15,7.937,1.764,-14.177,338.00
54680983,2,3.136,1.568,-13.669,25.00
54683527,1,,,-16.205,
54683589,5,0.316,0.110,-37.145,31.00
54684230,3,0.522,0.244,-58.330,249.00
54684257,3,0.281,0.122,-27.114,279.00
54684264,15,5.007,1.421,-8.525,338.00
54684388,2,12.766,6.383,-19.351,223.00
54685464,15,2.845,0.674,-20.003,338.00
54695748,3,0.062,0.025,-3.805,31.00
54706201,1,,,9.269,
54706442,1,,,-10.254,
54713697,3,0.078,0.036,17.104,31.00
54714302,3,0.729,0.309,-19.875,31.00
54714646,3,2.772,1.251,13.806,31.00
54716112,3,0.155,0.068,13.960,31.00
54718774,3,0.187,0.077,3.454,28.00
54719303,3,0.928,0.412,11.212,28.00
54722660,3,7.471,3.075,-71.216,31.00
54723861,3,0.018,0.007,-11.012,28.00
54723932,3,0.306,0.125,48.343,28.00
54730691,1,,,50.339,
54731325,3,0.304,0.129,8.977,28.00
54731489,1,,,15.004,
54732888,3,0.279,0.122,9.020,28.00
54734817,4,2.089,0.831,17.904,3727.00
54734877,4,91.872,36.231,-16.694,3727.00
54735119,1,,,-19.791,
54739757,1,,,-18.393,
54745370,1,,,17.324,
54749494,1,,,36.823,
54750422,4,0.235,0.094,-46.351,3306.00
54752473,1,,,-4.172,
54753056,8,966.059,305.595,31.270,4033.00
54755605,3,16.870,7.073,-12.153,327.00
54763002,4,18.725,7.954,28.942,750.00
54763295,1,,,-27.694,
54763397,4,65.497,28.065,-37.993,750.00
54763893,4,21.420,9.396,-47.072,750.00
54763916,3,0.143,0.061,-5.108,4.00
54766488,4,24.861,10.577,-65.599,750.00
54766591,6,1009.455,356.744,-46.699,4033.00
54766911,4,0.971,0.363,3.747,750.00
54766944,1,,,-9.874,
54766951,4,2.806,1.164,-53.257,750.00
54768053,3,2.075,0.847,27.447,4.00
54768292,3,0.294,0.122,-11.732,4.00
54772934,4,1.348,0.561,-57.085,750.00
54774198,4,20.662,8.634,15.968,750.00
54775699,11,65.719,19.998,-29.058,403.00
54775898,13,56.851,15.731,-27.816,1122.00
54775985,10,15.236,3.754,-46.096,403.00
54776021,11,414.071,111.707,255.910,403.00
54778089,1,,,2.603,
54778977,2,0.062,0.031,-5.642,66.00
54779606,4,112.654,55.755,49.710,93.00
54781919,13,1643.250,598.772,491.344,2234.00
54782454,12,11.891,3.242,-31.282,2234.00
54782598,11,57.590,19.201,-31.837,403.00
54782786,11,19.902,6.975,-29.622,403.00
54782862,12,24.846,8.888,-42.251,2234.00
54783042,14,75.605,17.409,-40.883,1528.00
54783109,5,0.520,0.238,-9.109,710.00
54783121,11,145.278,44.745,-24.220,403.00
54783495,11,372.637,122.666,-25.243,403.00
54783867,1,,,58.316,
54783881,12,43.026,11.921,-47.839,2234.00
54786770,1,,,-31.659,
54786830,2,0.037,0.019,-1.943,27.00
54786904,2,85.390,42.695,-51.271,27.00
54787579,4,3.773,1.502,-32.804,760.00
54787832,11,1035.035,401.022,513.147,2284.00
54788187,3,334.937,140.572,-67.349,4.00
54788498,14,46.694,14.627,-44.666,1528.00
54788754,16,99.433,25.231,-34.045,1528.00
54789025,13,109.858,34.205,-44.863,1528.00
54789261,3,53.832,22.765,-51.414,4.00
54789498,11,332.928,106.835,555.133,403.00
54789565,12,43.284,12.841,-25.473,2274.00
54789617,3,19.543,8.593,-11.422,4.00
54789690,14,20.309,5.674,-48.760,1528.00
54789837,11,227.964,55.845,-51.148,403.00
54789848,14,63.829,16.558,-36.529,1528.00
54790136,3,46.615,20.698,-50.801,4.00
54790196,14,67.221,15.353,-44.361,1528.00
54790688,11,184.507,47.292,-15.116,403.00
54790736,4,36.873,15.124,-52.631,750.00
54791013,10,279.631,72.283,821.724,403.00
54791435,9,89.727,26.301,-16.175,403.00
54791693,10,0.453,0.154,-3.331,403.00
54791895,3,32.658,14.958,-31.618,4.00
54792063,11,600.674,176.663,658.005,403.00
54792185,14,75.757,23.956,-28.390,1528.00
54792631,0,,,,
54792730,9,305.607,116.556,784.617,403.00
54793070,3,6.141,2.740,-18.254,4.00
54793074,11,1514.264,412.371,675.589,403.00
54793417,3,28.067,12.284,-50.275,4.00
54793596,14,746.293,179.848,109.900,1528.00
54793614,17,194.232,57.000,-26.585,2233.00
54794503,11,69.121,19.952,-43.568,403.00
54794615,11,46.035,14.147,-28.267,403.00
54795022,4,0.303,0.107,-7.059,750.00
54795174,14,78.641,19.633,-41.028,1528.00
54795180,11,25.003,9.506,-53.359,403.00
54795282,4,2.529,0.974,7.583,681.00
54795685,3,2.755,1.286,-20.784,4.00
54796247,4,0.305,0.112,0.269,709.00
54796369,9,284.743,87.082,-70.612,1528.00
54796382,10,53.350,15.586,-28.312,403.00
54796819,2,0.965,0.482,2.273,28.00
54797984,4,4.022,1.449,-19.831,709.00
54798353,4,0.828,0.321,-7.332,709.00
54798385,12,66.052,17.541,-33.367,2205.00
54799253,1,,,8.287,
54799652,4,33.348,11.969,2.736,683.00
54800325,11,78.605,18.725,-42.619,403.00
54801166,4,6.749,2.794,0.601,681.00
54801296,15,179.177,49.857,-23.011,2205.00
54804634,2,6.343,3.171,-97.566,585.00
54806413,1,,,3.386,
54807044,1,,,7.413,
54808636,3,17.730,7.518,-28.019,27.00
54809647,4,2.735,1.169,-29.826,4042.00
54810435,2,2.950,1.475,23.065,619.00
54810911,1,,,-17.179,
54811027,2,16.203,8.101,3.968,26.00
54813048,1,,,11.421,
54813439,1,,,-5.990,
54814097,1,,,9.259,
54814744,1,,,17.905,
54815155,1,,,12.961,
54815164,2,10.785,5.393,-73.722,26.00
54815199,1,,,65.363,
54816718,1,,,5.473,
54816931,1,,,-65.082,
54817505,3,0.089,0.040,27.072,243.00
54817615,2,27.885,13.943,989.045,27.00
54818558,1,,,-20.873,
54820047,4,4.295,1.693,-64.923,2977.00
54822140,1,,,-9.274,
54824050,1,,,11.115,
54824272,2,2.957,1.478,-45.069,27.00
