sdss_id,split,n_visits,delta_chi2,f_imp,prefers_binary,q_spec,q_dyn,v_single,gamma,v1_range,v1_per_visit,v2_per_visit,mjd_per_visit,rv1_untied_per_visit,rv2_untied_per_visit,v_rad_std_pipeline,ruwe,gaia_nss,in_sc_training,error
54383089,training,3,12391.376401724032,0.04147238546231717,False,0.9426049499771102,1.3058951025310364,-27.922121123076302,-28.289156008395548,0.13000000000000256,-26.31;-26.22;-26.35,-29.8;-29.88;-29.78,57375.00000;57407.00000;57404.00000,-26.98;-27.09;-28.83,-29.44;-29.24;-26.92,0.017,1.070,0,0,
54473727,heldout,3,0.0,0.0,False,1.0,1.0,-6.291557515263662,-6.291557515263662,0.0,-6.29;-6.29;-6.29,-6.29;-6.29;-6.29,58801.00000;58823.00000;58801.00000,-5.59;-5.88;-5.62,-7.61;-7.12;-7.96,0.080,12.053,0,1,
54564151,training,3,1228.221202846751,0.1656346208906102,False,0.962271424153573,1.0015015163944518,-23.65634818735322,-23.695962235962856,0.4400000000000013,-23.31;-23.07;-23.51,-24.08;-24.32;-23.88,57350.00000;57347.00000;57324.00000,-23.21;-23.17;-24.44,-24.65;-24.49;-22.81,0.051,1.073,0,1,
54651155,heldout,2,13926.035028563289,0.21894882756575754,True,0.10329611631556575,nan,11.236289352248493,3.193536585556953,0.0600000000000005,11.25;11.31,-48.24;-48.59,59242.00000;59245.00000,12.07;11.22,10.01;102.81,0.007,0.936,0,0,
54795174,heldout,8,33325.63843128295,0.12073439871789088,False,0.9899999999999038,0.6536222686600031,-19.761801906311522,-14.004536122928942,50.96,-37.52;-47.76;-9.76;-9.14;-8.4;-20.91;3.2;-29.15,21.97;37.63;-20.5;-21.45;-22.58;-3.44;-40.33;9.16,59205.00000;59209.00000;59207.00000;58007.00000;58084.00000;58039.00000;57681.00000;57762.00000,24.21;3.95;-82.77;-52.07;-46.22;-58.02;-38.57;-75.88,-65.93;-77.25;48.40;54.33;58.38;48.19;68.56;28.87,,1.117,0,0,
54872755,heldout,2,2349.417103337968,0.08156873171243743,False,0.945647155540759,nan,12.264234184542246,12.654810158368903,0.1999999999999993,11.58;11.78,13.37;13.24,59245.00000;59830.00000,11.44;12.89,13.27;11.81,0.069,1.336,0,1,
54949365,heldout,3,3915.6752338658116,0.08812996931704148,False,0.912632027836495,1.4149861145873996,14.943619070073284,15.494372023983667,0.25,13.72;13.69;13.94,16.75;16.77;16.59,57375.00000;57378.00000;57405.00000,14.10;13.98;14.55,16.07;16.52;15.57,0.039,9.538,0,1,
55022915,training,5,763.5655781063251,0.1057549389572869,False,0.9303853073333771,1.3133705335391566,-10.378090246232695,-10.275425408623116,0.5300000000000011,-10.77;-10.96;-10.43;-10.73;-10.55,-9.9;-9.75;-10.16;-9.93;-10.06,57058.00000;57022.00000;57320.00000;57280.00000;57292.00000,-10.50;-9.66;-9.62;-9.61;-9.95,-10.15;-11.72;-11.31;-11.32;-11.12,0.098,1.014,0,1,
55103436,training,2,0.0,0.0,False,1.0,nan,-3.3962047054309212,-3.3962047054309212,0.0,-3.4;-3.4,-3.4;-3.4,58753.00000;58754.00000,-3.43;-3.24,-2.90;-1.88,0.026,1.159,0,1,
55129441,training,3,52.132278153330844,0.008025984554342728,False,0.9456514926493046,0.9617827494070887,-38.85715761852499,-38.81088639721386,1.1600000000000037,-38.55;-39.7;-38.54,-39.08;-37.89;-39.1,58802.00000;58850.00000;58831.00000,-39.03;-39.31;-38.34,-38.57;-39.01;-39.62,0.101,1.065,0,1,
