sdss_id,n_visits_staged,split
54383089,3,training
54383257,3,heldout
54384337,3,heldout
54384917,3,training
54385706,3,training
54387234,3,heldout
54387384,6,training
54388216,4,training
54389850,6,training
54392015,4,heldout
54392424,4,other
54392763,5,heldout
54393129,7,other
54393897,2,other
54394490,5,heldout
54394916,4,heldout
54395451,5,heldout
54397048,5,heldout
54397382,3,other
54397488,3,other
54398010,3,training
54398175,3,training
54398613,3,training
54398617,3,heldout
54399173,5,heldout
54399663,3,training
54401415,3,training
54401594,3,heldout
54401622,4,training
54412461,3,training
54420143,3,heldout
54421843,6,training
54422124,3,other
54423212,3,training
54423377,6,heldout
54423559,6,heldout
54424195,12,training
54424369,3,heldout
54429610,3,heldout
54429788,12,heldout
54433236,3,training
54434057,3,heldout
54440561,3,heldout
54449407,3,heldout
54452978,3,training
54459448,3,heldout
54461591,3,training
54461958,2,other
54464492,3,other
54465011,12,training
54466526,6,heldout
54466808,6,training
54467917,6,training
54469040,6,training
54469227,6,training
54469610,6,heldout
54470384,6,training
54471900,3,training
54471958,6,training
54472427,6,heldout
54473727,6,heldout
54478106,3,training
54483944,3,heldout
54494122,7,training
54494661,2,training
54498655,6,heldout
54499962,3,heldout
54500396,6,heldout
54501088,6,heldout
54501752,2,heldout
54501991,6,heldout
54502510,12,heldout
54502763,6,heldout
54503059,3,training
54504429,3,heldout
54504496,6,heldout
54505788,6,heldout
54506197,2,training
54508552,3,training
54508934,3,other
54510470,2,heldout
54514610,6,training
54516149,6,training
54522031,3,training
54539594,4,training
54540060,3,training
54540127,3,training
54541380,4,training
54541648,4,heldout
54542428,4,heldout
54542702,4,training
54543162,4,heldout
54543699,3,training
54544725,3,training
54544889,3,other
54545204,3,heldout
54545350,4,training
54545592,3,heldout
54546449,3,heldout
54546712,4,training
54547523,4,training
54548780,4,training
54548909,4,training
54549174,3,training
54551622,4,heldout
54552577,3,heldout
54552720,4,training
54559890,3,heldout
54560677,4,heldout
54560688,4,other
54560778,3,training
54562249,3,training
54562324,3,heldout
54562702,6,heldout
54562811,4,training
54562872,3,training
54563426,3,training
54563825,4,heldout
54563929,4,heldout
54564085,6,other
54564151,4,training
54564279,6,other
54564622,6,training
54566383,4,training
54568436,3,training
54569869,4,training
54572444,2,other
54584138,4,heldout
54585864,3,training
54587080,3,heldout
54587434,4,other
54599428,2,training
54599678,2,heldout
54599749,2,other
54601007,2,heldout
54601073,3,training
54601155,2,training
54605959,3,training
54609024,3,training
54611168,6,other
54611190,6,other
54611253,6,other
54611358,6,other
54611478,6,heldout
54611556,6,other
54611613,6,heldout
54611671,6,other
54611800,6,other
54612431,6,other
54613458,3,training
54613864,6,training
54614009,2,other
54614105,6,other
54614453,6,heldout
54614569,6,other
54614903,6,other
54615111,6,other
54615766,3,training
54618793,3,training
54618851,3,training
54622528,5,other
54622671,2,training
54622873,2,other
54622995,2,training
54623850,2,training
54625435,3,heldout
54626234,3,training
54626690,3,training
54627323,2,training
54627381,2,training
54627840,3,training
54634636,2,training
54642353,3,heldout
54643330,3,heldout
54645498,3,training
54645630,3,heldout
54650498,2,heldout
54650725,3,training
54650763,3,heldout
54651078,2,heldout
54651155,2,heldout
54651316,3,training
54651767,3,heldout
54653258,2,other
54661673,2,heldout
54662156,2,training
54664327,3,heldout
54664916,2,training
54665295,2,other
54667538,3,training
54669059,3,heldout
54669293,2,heldout
54670092,2,training
54670165,3,heldout
54672109,3,heldout
54673904,2,other
54674424,2,heldout
54675031,2,heldout
54680687,3,heldout
54680880,2,other
54683830,2,training
54684198,8,heldout
54684264,15,heldout
54685395,18,heldout
54686329,3,heldout
54686756,3,heldout
54695748,3,heldout
54695750,3,heldout
54713697,3,other
54714669,6,heldout
54715381,3,training
54718032,3,heldout
54722819,3,training
54729937,3,heldout
54731515,3,training
54734236,3,training
54743731,4,heldout
54751613,2,heldout
54752949,6,training
54756040,3,training
54761605,3,training
54761851,3,heldout
54763727,6,training
54766911,6,other
54766951,6,heldout
54766998,6,training
54767039,6,heldout
54767243,6,training
54768053,5,training
54772934,6,training
54773634,6,training
54775946,6,heldout
54778977,2,other
54783042,16,training
54783109,7,training
54783881,12,training
54786830,2,training
54787226,3,training
54788215,6,heldout
54795022,6,other
54795174,16,heldout
54795685,5,other
54796247,6,heldout
54796819,2,training
54798207,6,heldout
54801163,6,heldout
54803202,2,heldout
54803291,2,heldout
54804634,2,other
54806770,2,heldout
54808599,2,training
54810413,2,heldout
54811027,2,other
54812701,2,training
54816147,2,heldout
54818160,2,training
54820733,4,heldout
54830740,2,heldout
54832221,3,heldout
54832751,2,training
54832825,2,heldout
