sdss_id,gaia_dr3_source_id,in_kovalev22,in_kovalev24,in_kounkel21,kounkel_sbn,n_visits,prefers_binary
55746127,573411158022152576,0,0,1,2,8,True
56245047,656243794212945024,0,0,1,2,4,True
60625452,1338101669571375616,0,0,1,2,5,True
70378965,2550006097491232000,0,0,1,2,3,True
77771574,3446537704002596096,0,0,1,2,3,True
57071949,795755773780653824,0,0,1,2,2,True
61028443,1394044340154869888,0,0,1,2,4,True
62060863,1574711624064689152,0,0,1,2,6,True
70681136,2613832129008057728,0,0,1,2,2,True
61703956,1506887115435170432,1,0,0,,2,True
80009092,3844619359172410240,0,0,1,2,2,True
80809900,4003955842624785408,0,0,1,2,2,True
98389608,5485728635013428608,0,0,1,2,3,True
57296501,838616626815953024,0,0,1,2,3,True
60358787,1304101157971199360,0,1,1,2,4,True
70103225,2497477238711762944,0,0,1,2,2,True
70340649,2543335394805359104,0,0,1,2,8,True
71571106,2779583640038802560,0,0,1,2,4,True
77435004,3418543042743911936,0,1,0,,8,True
78907483,3641677691965375616,0,0,1,2,8,True
94873825,5174559800604422144,0,0,1,2,2,True
98372154,5483542084342472448,0,0,1,2,5,True
116851157,338955971439476352,0,0,1,3,6,True
57064829,794359875050204544,0,0,1,2,5,True
61690978,1504315838773622144,0,0,1,2,3,True
70101778,2497200260565412224,0,0,1,2,2,True
77423907,3417075950634789888,0,0,1,2,4,False
59503331,1165664466416228480,0,1,0,,3,True
60364215,1304836151430648960,0,0,1,2,5,True
70106946,2498223222991478912,0,0,1,2,2,True
71014723,2678841612993913856,0,0,1,2,2,True
57814677,904331859827254016,0,0,1,2,2,True
58729127,1032406959959806720,0,0,1,2,5,True
61041504,1396395057359456000,1,1,1,2,4,True
61708356,1507750438221269376,0,0,1,2,2,True
62376963,1632323353302170112,0,0,1,2,3,True
77503178,3425581360272279296,1,1,0,,7,True
88906774,4418773993210982272,0,0,1,2,2,True
109050931,6242857942539775232,0,0,1,2,3,True
115898313,205287410845251584,0,0,1,2,3,True
54795180,458569642410661120,0,0,1,2,8,True
57220942,824315485231630592,0,0,1,2,8,True
61153488,1414140487836898048,0,0,1,2,3,True
67678502,2128098227210441344,0,0,1,2,5,True
76740870,3350981656693549696,0,0,1,2,8,True
83709088,4080522533848220800,0,0,1,2,2,True
61488770,1468448979202665344,0,0,1,2,3,True
62133003,1588218437217641600,0,0,1,2,2,True
75838965,3216521250157114368,0,0,1,2,4,True
76076089,3247659316375889408,0,0,1,2,3,True
77785530,3447745384383887360,0,0,1,2,3,True
56313100,665576826867160960,0,0,1,2,2,True
56999014,782297201699054592,0,1,0,,5,False
73915901,3047035312313288192,0,0,1,2,3,True
75136757,3138192522832492160,0,0,1,2,3,True
90329757,4565580888832048256,0,0,1,2,7,True
60191472,1278527621316850688,0,0,1,2,2,True
67965511,2158264084633164800,0,0,1,2,2,True
76096829,3251590375386956672,0,0,1,2,6,False
56577374,702393458327135360,0,0,1,2,8,True
60267673,1290905476545477120,0,0,1,2,3,True
60873054,1369206746144317184,0,0,1,3,3,True
61834528,1532297099734229888,0,0,1,2,2,False
70172332,2510848433976766976,0,0,1,2,2,True
70819514,2641601463399803904,0,0,1,2,2,True
71314439,2728141098747704448,0,0,1,2,3,True
57577622,878803639372882560,0,0,1,2,3,True
60481666,1320372869206427776,0,0,1,2,4,True
61846002,1534514131787901696,0,0,1,2,2,True
62226751,1605966375956465920,0,0,1,2,3,True
79945112,3833541818176750720,0,0,1,2,3,True
57008571,784183688773792896,0,0,1,2,6,True
62517904,1656535217820593024,0,0,1,2,6,True
67698862,2129717262382184704,0,0,1,2,4,False
56341543,668699199372339200,0,1,1,2,3,True
67699061,2129735468745511168,0,0,1,2,3,True
68625060,2205210211783513344,0,0,1,2,3,True
70835931,2645017611666623872,0,0,1,2,2,False
71345921,2734238410415477120,0,0,1,2,2,True
76177512,3269683771231275008,0,0,1,2,6,True
60292633,1294904056738381824,0,0,1,2,7,True
67697510,2129605215275679488,0,0,1,2,4,True
69992603,2474755727845313792,0,0,1,2,5,True
70833333,2644461945977707520,0,0,1,2,2,True
79945222,3833562945120794112,0,0,1,2,4,True
54768053,457096331189362432,0,1,0,,3,True
57901080,918856369775178112,0,1,1,3,3,True
61134281,1411248261155948672,0,0,1,2,2,True
61385935,1451308314478394240,0,0,1,2,6,False
79927253,3830131579784191872,0,0,1,3,3,True
80595173,3960201911269349760,0,0,1,3,3,True
83676926,4078946834939201664,0,0,1,2,4,True
114993761,53669984347332736,0,0,1,3,2,True
55748795,573928512602651520,0,0,1,2,8,True
60635924,1339291169353029888,0,0,1,2,4,True
63274426,1774860703535616128,0,0,1,2,4,True
71765594,2815747818722567168,0,0,1,2,2,True
56999101,782316232698247168,0,0,1,2,5,True
57901713,918946396585384064,0,0,1,2,2,True
58358278,975053066201066752,0,0,1,2,8,True
59864057,1223439649224630400,0,0,1,2,3,True
105056414,5945278796984219136,0,0,1,2,3,True
57832176,907156505199523840,0,0,1,2,2,True
75838906,3216512247905700992,0,0,1,2,4,True
91728295,4666276358430104704,0,0,1,2,2,False
95659127,5254215020038463616,0,0,1,2,2,True
116011220,216681551056567424,0,0,1,2,7,True
56314167,665737596082373760,0,0,1,2,2,False
61978632,1559299013663301376,0,1,1,2,2,True
62218427,1604184033247902720,0,0,1,2,8,True
64673199,1911589479871302144,0,0,1,2,3,True
80127196,3868085101971944576,0,0,1,2,8,True
90334773,4566228879138144384,0,0,1,2,3,True
115376699,141548657355799296,0,0,1,2,3,True
56452216,681713603112974848,0,0,1,2,8,True
56782177,739903366226369920,0,0,1,2,5,True
62377156,1632357128925548672,0,1,1,2,3,True
70110584,2499039709159101056,0,0,1,2,8,True
94900553,5180466583227280512,0,0,1,2,2,True
57294863,838315326269938432,0,0,1,2,3,True
57788080,900171651424801152,0,0,1,2,7,True
61007562,1390309299154622336,0,0,1,2,5,True
77424018,3417093027424764160,0,0,1,2,3,True
94864488,5172460695468009344,0,0,1,2,3,True
115045080,66867525496948480,1,1,1,2,3,True
57969708,929483325751362048,0,0,1,2,2,True
71586320,2782683442492092160,0,0,1,3,3,True
91222295,4655328388029221632,0,0,1,3,8,True
56446644,681011560642622720,0,0,1,2,8,True
62372686,1631594377091989888,0,0,1,2,5,True
67247750,2087264293802301824,0,0,1,2,8,True
79748056,3794811761607388672,0,0,1,2,3,True
80811949,4004335418950143488,0,0,1,2,2,True
61009638,1390678494544167552,0,0,1,2,3,True
75789910,3209572852067565568,0,0,1,2,8,True
58717811,1030395540876562944,0,0,1,2,2,True
60363888,1304777671155777408,0,1,1,2,4,True
62367525,1630819977308450688,0,0,1,2,3,True
77455332,3421240896383884800,0,0,1,2,3,True
109044174,6242365911092965504,0,0,1,2,2,True
54393897,422590873168873600,0,0,1,2,2,False
61063707,1400253488475453568,0,0,1,2,6,True
61933774,1551033194485425920,0,0,1,2,5,True
70378936,2549999672220209792,0,0,1,3,3,True
71757273,2814138644800395520,0,0,1,2,7,True
114886806,20402129743735808,0,0,1,2,3,True
57073126,796022469772190336,0,0,1,2,6,True
61701707,1506446451788552832,0,0,1,2,2,True
67238919,2086635987327389184,0,0,1,2,2,True
70107624,2498375230474057984,0,0,1,2,8,True
80004736,3843806721294673280,0,0,1,2,2,True
91225173,4655370646194951808,0,0,1,2,7,True
56705951,724181586899612928,0,0,1,2,3,True
57961280,927937309323747840,0,0,1,2,6,True
60084730,1262000381003024384,0,0,1,2,8,True
62354441,1628644696632754304,0,0,1,3,5,True
80360552,3914827716386032640,0,0,1,2,8,True
98370031,5483255554187692928,0,0,1,2,5,True
55960752,608310756598141184,0,0,1,2,8,True
58705416,1028343091968351744,0,1,1,2,2,True
60358001,1304007909937693824,0,1,1,2,2,True
71571006,2779562822332990464,0,0,1,2,5,True
75950346,3230695496931233408,0,0,1,2,3,True
79710442,3787808319214631680,0,0,1,2,5,True
59509165,1166507207719434496,0,0,1,2,2,True
69248122,2305136164972284160,0,1,0,,2,True
80819480,4005788286127273216,0,0,1,2,3,True
67155388,2080256277265187072,0,0,1,3,2,True
80357132,3914124716139010560,0,0,1,2,8,True
114198489,6841024287026409344,0,0,1,2,3,True
58406882,982438107847520512,0,0,1,2,2,True
90381321,4571164243238587648,0,0,1,2,2,True
106538160,6011395248657800448,0,0,1,2,2,True
111582276,6623368371101065728,0,0,1,2,6,True
115400035,145212711134828672,0,0,1,2,4,True
63221673,1766916633241003776,0,0,1,2,3,True
79045225,3664911437811886592,0,0,1,2,5,True
79803309,3805537222657757440,0,0,1,3,7,True
80034840,3849626844361920128,0,0,1,2,8,True
89173653,4451016759380616704,0,0,1,2,5,True
117355948,403490706920854656,0,0,1,2,3,True
57212118,822723220595397504,0,0,1,2,2,True
57902002,918987731350468096,0,0,1,2,2,True
59864422,1223484316883686912,0,0,1,2,3,True
61138591,1411882988603006336,0,0,1,2,4,True
