sdss_id,gaia_dr3_source_id,ra,dec
54381610,421525132863453824,5.6230269,56.3628452
54384153,421737308547507456,6.5506543,56.7853193
54385169,421814617957188736,7.3320759,57.0637000
54385622,421850455165213696,7.3562284,57.4859656
54385706,421856742997282816,7.3506416,57.5689526
54386478,421917594095590272,6.4826452,57.8258925
54386702,421935839115358848,5.7010027,56.8086568
54386765,421942951581106816,5.9793712,57.0307436
54387752,422028301172609024,4.6002753,57.4601318
54388588,422097639123114368,5.2806745,57.8947907
54389693,422197419805879936,4.6539640,58.4832535
54389733,422200512182161024,4.3407181,58.5281740
54390292,422251502032297088,3.8445808,56.4555959
54392424,422483666481788160,2.3068771,57.8851030
54393853,422586750000407168,0.1654005,57.3757530
54393897,422590873168873600,0.4884650,57.4475080
54394121,422613584957509248,0.6753603,57.7807852
54394188,422619907148572800,0.4584011,57.7607622
54394250,422625782663627136,0.0562910,57.9440609
54394612,422664403007683840,1.4290912,57.9460018
54394670,422668972852822528,1.1157681,58.0685186
54395405,422733466083342080,0.2929014,58.3041691
54395451,422737864131681280,0.0322761,58.4054194
54396129,422792049435437952,3.7301098,57.8718032
54396709,422841488796322304,3.3755157,58.2835917
54396734,422844890410412544,3.2391071,58.4461834
54397282,422891555240123392,3.0140741,58.4883135
54397291,422892551672534528,3.1537291,58.5190046
54397382,422901244686236672,2.5386325,58.5114784
54397488,422909868980610048,2.5707461,58.6794545
54397695,422926945768252288,3.9826182,58.4941167
54397987,422951066304346368,3.2618517,58.8571274
54399167,423062902950362496,1.5827594,58.3901984
54399573,423098022906850688,1.6506627,58.7558211
54399663,423105513329781376,1.8340491,58.8787000
54399693,423109739577494912,1.5594737,58.7471856
54400117,423149081478526464,0.2867454,58.9798686
54400171,423154544676921344,0.4106928,59.0185732
54400542,423185605881825408,0.0779838,59.2793993
54401622,423272604739857408,0.7572962,59.4410380
54405967,423669150479405696,13.3411543,55.8901010
54409841,423973405967025408,14.7030713,56.3780678
54422124,424883797289750272,8.4238547,57.9840302
54423703,424986674646826624,8.7899310,58.3428751
54423798,424993855833207808,9.3081340,58.3073739
54440324,426259806033572992,16.3549547,59.7434683
54448939,426830521289358336,12.1123070,59.8999457
54450824,426938101630601984,12.1016581,60.4077349
54454792,427197753868296960,10.6338607,61.2248318
54460893,427650275924665216,9.8850943,61.8955185
54461958,427719304637372288,11.2255465,62.1951351
54464492,427916426457225216,7.1242395,58.0273030
54464925,427952160585799936,7.0492450,58.3175810
54465011,427959994606021504,7.1596838,58.5507819
54465345,427988959864467840,7.9935597,58.3931461
54466079,428050532516019072,7.6358916,59.1640956
54467620,428189552017305088,5.6296773,59.0514940
54469040,428293215347731968,5.8989019,59.4628334
54469227,428305550494462208,6.1192970,59.5250643
54470424,428410038458702720,8.3343283,59.1099249
54471222,428480750801560704,7.2493238,59.5202536
54471436,428493670062999040,7.0562962,59.5946869
54471875,428526277455475072,7.4337879,60.1087383
54471885,428526586693093248,7.4988242,60.1570182
54472241,428548645644559104,8.7722995,59.8854477
54473007,428602693513943680,8.2205410,60.4916445
54473258,428616815368636160,7.7363839,60.1673545
54475573,428754288677827968,5.7256717,60.6561535
54478906,429005801957404416,4.3452984,59.4502000
54479077,429023527285165824,3.8138195,59.6647591
54479340,429047789563515776,3.2244116,59.5864940
54479787,429087028385349760,2.9773161,60.0175628
54480429,429134547906656512,3.4502693,60.1814674
54482583,429264393355460992,1.7644390,60.1017159
54483944,429350155263862400,0.3629898,60.6762432
54490911,429748693868499072,3.2089248,61.8105618
54491289,429775730677799168,2.6064255,62.2105365
54492996,429877508527482112,1.4985036,62.1310597
54494736,429962377083008000,2.3731859,62.1954730
54497627,430076176533095936,0.5945863,62.9008785
54499556,430183138400537472,7.2474332,61.0902526
54500046,430209664119675136,7.9214780,61.5001909
54500225,430215470915266560,7.8696563,61.6598931
54501108,430265189453454848,8.5986328,61.8267739
54501446,430287312820120192,8.8104164,61.7740425
54504732,430476428822993024,5.0230661,62.0663001
54504822,430482205565831296,5.7130986,62.0341992
54504911,430488493398780288,5.5142120,62.1850733
54505373,430511789300158720,5.0725764,62.4638789
54505788,430536493948906880,6.5669944,62.3272816
54505994,430546767510593920,6.3153916,62.4167328
54506950,430595489621934208,5.9048740,62.5646305
54507832,430643730695087744,5.1680780,63.0296715
54508552,430686611645290496,8.8682245,62.4991100
54508934,430707601141581952,9.3439173,62.7409089
54508955,430708533159741952,9.2726930,62.7849353
54511390,430832503093529856,8.8079675,63.4140438
54511889,430866484875757184,9.0469008,63.7356322
54512248,430881981118821248,8.3288369,63.4636759
54512466,430892357759527424,7.6748220,63.5044078
54513278,430947195900929024,7.3161262,62.9209356
54514744,431022959125571712,5.7202614,63.4340717
54514992,431040413872462720,5.2335114,63.6674505
54515767,431086765156056960,7.0861662,63.7219287
54515768,431086795221655424,7.0719904,63.7349762
54516065,431105869170505344,6.9671275,63.8819531
54516149,431109575719911424,6.7945939,64.0620600
54518238,431222383047982080,4.6192703,62.1235419
54518587,431242964531324288,3.6771349,62.3310335
54518797,431257425685976704,4.6861558,62.4793212
54521039,431357932218569984,2.5308644,63.3057174
54522465,431428541477607040,3.8190711,63.7147146
54524668,431526153186969856,1.4702369,63.1533968
54526170,431585221888068224,0.7893193,63.4429009
54527184,431623532997261312,0.6698895,63.9155052
54527238,431626316136131584,0.3471607,63.7850049
54529098,431710497490097664,1.5277950,64.4555548
54531049,431828072208379904,4.8318497,64.1213279
54534039,432039526342574208,3.8179410,65.2811258
54534296,432062650446293760,3.0045734,65.6049833
54542120,432859762009669760,44.5660514,44.2531003
54543259,433001461571091712,45.8902824,44.1712083
54544889,433207409545061888,45.9168827,44.7544561
54545231,433250913271781888,45.9067007,45.1222354
54548780,433671648267422720,44.4242442,45.0143431
54552239,434137119643776768,44.4928777,46.0086584
54560677,435068646516136704,48.7175672,47.3491238
54560688,435069161905916416,48.6028488,47.3499091
54562621,435341737713359232,50.8545610,47.9104066
54562958,435398053324024704,50.2589908,48.2122705
54562981,435404306796373248,50.1746294,48.4103170
54562987,435405303228775680,50.2772925,48.4367497
54563007,435407635392414336,50.6732724,48.2686294
54563143,435427946296584960,50.5408432,48.5672366
54563198,435436536231088256,50.7774784,48.7378838
54563223,435440483302187904,50.7260271,48.8289286
54563570,435496734494062848,49.2164275,48.1298206
54563825,435541848829970304,48.6892475,48.3027988
54564085,435587199384992128,49.7104498,48.2674123
54564279,435621494703658240,50.3343792,48.7573968
54564586,435672720775472128,49.4117879,48.8468040
54564678,435689252108228864,49.8541173,48.9943759
54564680,435689698783448448,49.8780532,49.0504735
54564781,435705298105934848,50.2151430,49.4658457
54569253,436324735469204736,48.7304664,48.6957877
54572444,436845663461084544,48.3540304,51.0626874
54583560,438049216374812288,39.9296190,47.1843733
54586386,438310350388112512,39.6212101,48.0613784
54587434,438390683455168384,39.4098624,48.6468452
54599678,439913953737970176,47.6672027,51.4724512
