sdss_id,split,n_visits,delta_chi2,f_imp,prefers_binary,q_spec,q_dyn,v_single,gamma,v1_range,v1_per_visit,v2_per_visit,mjd_per_visit,rv1_untied_per_visit,rv2_untied_per_visit,v_rad_std_pipeline,ruwe,gaia_nss,in_sc_training,error
100056855,,4,1837.917808501108,-0.017789972401412363,False,0.7289950933423548,0.7289950933423548,-30.40807819366455,-28.45433328277486,0.7699999999999996,-30.78;-30.16;-30.93;-30.71,-25.27;-26.12;-25.06;-25.36,59220.00000;59217.00000;59212.00000;59218.00000,-30.78;-30.16;-30.93;-30.71,-27.68;-8.34;-26.85;-23.57,0.155,,,0,
114815756,,2,480.75600555469646,0.07598916008824466,False,0.12446444555305318,nan,-19.628931999206543,-36.3680777358702,0.060000000000002274,-19.62;-19.56,-67.02;-67.13,58669.00000;58668.00000,-19.70;-20.13,-112.09;-18.46,0.037,,,0,
116335039,,1,98.01897021423429,-0.0344100037331111,False,0.21157967582711754,nan,57.12869344335328,49.43238411410114,0.0,57.18,5.88,59952.00000,57.34,6.42,,,,0,
56090187,,1,603.9023670615388,0.12864986904596043,False,0.2557250505127963,nan,15.59081337522693,27.59928451736764,0.0,15.63,89.16,60018.00000,15.63,1.83,,,,0,
56867033,,3,300.6636129537219,0.04893729358679496,False,0.39464682803664,0.47656454962451383,16.39900555534144,31.53649649020342,0.3099999999999987,16.61;16.44;16.3,62.85;63.2;63.5,57400.00000;57399.00000;57401.00000,16.58;16.29;16.24,63.80;61.29;39.49,0.097,,,0,
57298286,,7,6062.350158895948,0.10787790392201924,False,0.9868282674281098,0.7006836169908593,2.2949483815579415,2.3412270028457174,16.35,10.52;-5.3;-5.83;9.96;-5.25;10.01;9.99,-9.33;13.24;14.01;-8.53;13.17;-8.61;-8.57,57481.00000;60035.00000;57483.00000;58112.00000;58110.00000;58111.00000;58108.00000,-7.32;1.99;-7.78;8.98;-5.21;-6.55;9.35,11.43;48.13;11.92;-8.78;11.87;11.77;-8.93,0.585,,,0,
58518659,,4,0.0,0.0,False,1.0,1.0,-25.202052436303948,-25.202052436303948,0.0,-25.2;-25.2;-25.2;-25.2,-25.2;-25.2;-25.2;-25.2,56674.00000;56645.00000;56679.00000;56678.00000,-25.71;-25.92;-25.96;-24.58,-24.79;-24.13;-24.09;-25.73,0.087,,,0,
59149666,,1,650.7498380426114,0.095482922245277,False,0.21882547273524028,nan,-0.9700582026955464,-15.659780377814577,0.0,-0.91,-86.63,59981.00000,-0.95,-83.63,,,,0,
60079105,,8,5794.201316737017,0.08371624550838569,False,0.9767242408243801,1.0547891824269966,0.505689218908735,0.46282331884522854,1.6600000000000001,0.08;-0.09;-0.12;0.29;1.54;0.02;1.42;1.25,0.83;0.99;1.01;0.62;-0.56;0.88;-0.44;-0.29,59671.00000;59674.00000;59709.00000;59672.00000;59671.00000;59672.00000;59672.00000;59671.00000,-0.37;-0.13;-0.51;1.44;-0.02;0.95;0.41;0.87,1.31;0.97;1.34;-0.63;0.98;-0.31;-4.65;0.07,0.066,,,0,
60782492,,2,0.0,0.0,False,1.0,nan,-17.54662474739022,-17.54662474739022,0.0,-17.55;-17.55,-17.55;-17.55,57515.00000;57513.00000,-17.65;-17.60,-5.97;71.72,0.047,,,0,
61265540,,1,0.0,0.0,False,1.0,nan,-45.655555725097656,-45.655555725097656,0.0,-45.66,-45.66,59381.00000,-44.70,-46.63,,,,0,
61652136,,3,0.0,0.0,False,1.0,1.0,3.3911798000335693,3.3911798000335693,0.0,3.39;3.39;3.39,3.39;3.39;3.39,57135.00000;57134.00000;57137.00000,3.39;3.54;3.43,3.39;-81.81;18.76,0.009,,,0,
62043535,,2,0.0,0.0,False,1.0,nan,-57.79705810546875,-57.79705810546875,0.0,-57.8;-57.8,-57.8;-57.8,58628.00000;58629.00000,-57.99;-57.59,-5.99;-45.94,0.030,,,0,
62460412,,1,219.4178252955826,0.06992424993022738,False,0.9730544874327314,nan,7.206008434295654,7.444593668789034,0.0,7.46,7.43,58649.00000,5.66,10.19,,,,0,
65861792,,1,70.26811072003147,0.042396024488032404,False,0.9684505464997157,nan,-27.44434928894043,-27.44434928894043,0.0,-27.44,-27.44,59889.00000,-28.00,-26.83,,,,0,
67790762,,1,0.0,0.0,False,1.0,nan,-36.61452102661133,-36.61452102661133,0.0,-36.61,-36.61,60114.00000,-36.62,-37.65,,,,0,
69096997,,1,0.0,0.0,False,1.0,nan,-41.606229840645575,-41.606229840645575,0.0,-41.61,-41.61,59846.00000,-41.77,-129.67,,,,0,
70143709,,3,0.0,0.0,False,1.0,1.0,-2.5946984637960124,-2.5946984637960124,0.0,-2.59;-2.59;-2.59,-2.59;-2.59;-2.59,56646.00000;56641.00000;56668.00000,-2.71;-3.06;-2.77,-2.89;-1.77;-3.04,0.059,,,0,
70624297,,2,309.169244291561,0.13264896022894143,False,0.9717994796425475,nan,-9.95853187417459,-10.04835453983577,0.6600000000000001,-9.86;-9.2,-10.17;-10.62,58059.00000;58061.00000,-9.05;-9.40,-11.46;-10.40,0.161,,,0,
71113706,,1,199.05558981008653,-0.04746704227316221,False,0.9375268364879547,nan,-7.124902248382568,-7.022768429225328,0.0,-7.12,-6.92,59874.00000,-8.78,-4.80,,,,0,
74557972,,1,84.74576158951277,0.0626305756373282,False,0.37341924265976706,nan,4.29383904884398,29.48467498107518,0.0,4.26,96.91,59902.00000,4.15,95.64,,,,0,
76315178,,3,673.2513649352477,0.07148884144217728,False,0.32020560165046513,0.366851599000612,-11.925895946039677,-0.5955934422089497,0.1800000000000015,-11.98;-11.95;-12.13,30.44;30.35;30.84,58507.00000;58862.00000;58777.00000,-12.02;-11.46;-12.11,30.52;-12.58;32.96,0.064,,,0,
78974487,,1,843.2122031151084,0.11159201046235634,False,0.27510848296505785,nan,16.64185333251953,27.022417612619925,0.0,16.7,61.43,60050.00000,16.64,61.64,,,,0,
79830284,,1,175.64358471065862,0.08126672516669381,False,0.29158478244637565,nan,11.294309616088867,11.294309616088867,0.0,11.29,11.29,58915.00000,11.34,85.38,,,,0,
80158411,,1,606.6935354930174,0.11245244462899895,False,0.16224470665470775,nan,-15.39083194732666,-20.023806293898733,0.0,-15.34,-40.85,59956.00000,-15.52,-31.51,,,,0,
80905404,,2,110.99534105704151,0.08299171287857238,False,0.16317076520010437,nan,-19.788002256307024,-20.447137065694097,0.14999999999999858,-19.86;-19.71,-25.01;-26.24,59339.00000;59311.00000,-19.86;-19.67,-18.47;-31.50,0.039,,,0,
87737864,,2,3823.681638205031,0.11262356008910702,False,0.3550471733146125,nan,3.1180349463054053,4.675507649032742,0.010000000000000231,3.09;3.1,6.38;6.36,60095.00000;60118.00000,2.95;3.39,12.19;2.61,0.002,,,0,
90807671,,8,3992.466709235043,0.08972334859250168,False,0.9400201533992345,1.3907011888104641,54.6678730239802,54.7133941411806,1.0500000000000043,54.21;54.4;54.88;54.22;53.83;54.66;54.12;54.47,55.08;54.94;54.59;55.07;55.35;54.75;55.14;54.89,58795.00000;58798.00000;59166.00000;59193.00000;59174.00000;59177.00000;59181.00000;58775.00000,55.67;53.17;53.50;53.80;53.17;53.14;52.39;53.05,53.29;56.53;56.45;55.53;56.18;56.73;57.17;56.73,0.072,,,0,
92485331,,1,881.1737138448152,0.2316321917551105,False,0.1611414462229327,nan,21.73123287188922,17.082283493380398,0.0,21.73,0.72,59200.00000,21.73,9.97,,,,0,
95799487,,1,8818.972681922514,0.29027907496772204,False,0.9462908241943058,nan,50.63299141314396,46.68358758859408,0.0,59.8,33.36,58834.00000,59.48,32.77,,,,0,
100057986,,4,2461.102740359027,-0.013855144683884265,False,0.1200965643684932,0.1957830008867404,9.59136030942272,-5.361186999995933,0.4299999999999997,9.82;9.39;9.52;9.44,-82.88;-80.71;-81.38;-80.94,59212.00000;59220.00000;59218.00000;59217.00000,9.75;7.38;9.48;9.52,-75.65;11.99;-79.03;-79.16,0.218,,,0,
