sdss_id,n_visits_file,v_rad_std_pipeline,v_rad_median_pipeline
100056855,4,0.155,-30.408
100057986,4,0.218,9.613
100558426,6,0.109,-9.408
100559522,3,0.132,34.630
100564575,3,0.091,9.719
101080012,6,0.174,29.067
101310646,1,,49.393
101312608,2,0.069,17.650
101391127,4,nan,nan
101609339,1,,25.344
101615706,3,0.124,1.533
102255904,3,0.020,-5.279
103227705,3,0.066,-48.743
104405600,9,0.082,2.038
104416050,9,0.625,23.268
104419733,8,0.102,-11.997
105464214,1,,-42.537
106537683,7,0.080,15.324
107005593,1,,-44.463
107008287,1,,1.491
107035299,1,,-52.242
107064741,1,,-59.099
107070384,3,6.685,-33.861
107070647,2,0.058,-28.995
107070662,2,0.055,-4.615
107075970,1,,-21.262
107326503,6,0.057,-65.057
107545258,12,0.450,225.356
107567865,3,0.136,-12.380
107573058,6,0.123,-15.080
107663914,4,0.020,-3.403
108413844,6,0.047,-32.538
108414212,6,0.125,-23.469
108987392,3,0.138,-50.499
109054629,2,0.004,41.576
109064117,6,0.208,-13.206
109073694,1,,-41.566
109075413,2,0.030,-7.867
109076812,4,0.062,-19.434
109077659,1,,-88.866
109091268,2,0.001,2.694
109394364,6,0.163,5.387
109423710,1,,-4.658
109424584,1,,2.534
109600495,27,0.429,36.307
110542338,6,0.080,22.020
110542924,3,0.135,21.283
110543216,3,0.028,-20.680
110545899,6,0.105,-20.833
110549234,3,0.125,12.623
110879452,1,,8.460
110891120,1,,17.534
110996196,1,,-39.721
110996703,1,,25.503
111035197,1,,67.637
111251401,1,,56.149
111251750,1,,-1.970
111531873,1,,16.685
111531887,4,0.108,8.246
111560419,5,0.041,29.761
111561218,3,0.020,-39.717
111561443,5,0.169,-17.581
111566586,5,0.096,8.775
111576529,1,,-15.644
111579115,4,0.063,-35.988
111581794,6,0.082,-17.860
111582192,6,0.085,20.890
111582304,6,0.087,-50.496
111582452,6,0.117,-44.411
111643223,5,0.145,-8.668
113072597,2,0.033,31.636
113073964,4,0.116,-24.983
113450985,5,0.202,-14.107
113678014,5,0.107,14.578
113854982,3,0.038,45.380
113934111,3,0.081,-6.249
114117782,2,0.054,-16.889
114131696,1,,0.869
114131911,1,,16.852
114132099,1,,-34.908
114132343,1,,-13.428
114183867,6,0.074,26.910
114188748,1,,22.050
114189390,2,0.005,-62.818
114189887,1,,-25.404
114198070,1,,10.811
114199744,3,0.073,8.411
114217440,1,,-24.158
114515112,1,,0.750
114605166,1,,-13.260
114639875,1,,28.024
114641075,1,,2.855
114643061,1,,22.493
114705729,1,,-94.333
114729242,1,,-1.686
114741456,1,,35.784
114746175,4,0.196,-11.248
114748204,1,,-27.650
114777643,5,0.046,-6.819
114779278,1,,22.047
114815756,2,0.037,-19.629
114819475,4,0.036,7.317
114858615,6,0.066,23.985
114859162,3,0.064,-36.306
114863439,6,0.054,27.323
114898197,3,0.027,45.658
114904421,3,0.040,33.769
114938616,4,0.638,25.715
114939341,3,0.073,6.542
114944548,2,0.044,35.869
114946762,2,0.098,25.934
114951882,1,,31.125
114951929,1,,15.954
114967151,2,0.004,31.176
114967351,2,0.012,43.968
114968152,2,0.028,26.562
