sdss_id,teff,logg,fe_h,mg_h,v_macro,snr
54380899,6849.27,4.4342,0.0431,-0.2032,29.9973,263.0
54383257,4983.54,4.6178,0.2629,0.246,3.974,170.66
54385706,5570.35,4.0353,-0.1218,-0.2992,29.9974,253.25
54387234,5223.31,4.0054,-0.3219,-0.1068,6.3239,141.85
54389783,5041.54,4.809,-1.4678,-2.267,4.2101,135.74
54393637,5993.93,4.0415,-0.2285,-0.4734,29.7228,82.12
54393854,5669.03,4.4234,-0.0512,-0.0652,5.2251,140.5
54393897,6594.56,4.9704,-0.4288,-0.7254,9.7627,144.86
54398617,4892.91,4.6763,-0.2787,-0.1718,9.5554,115.91
54416225,5067.33,4.4049,0.2587,0.276,3.6909,81.24
54420368,5243.87,4.6711,0.0638,-0.0151,7.3035,208.43
54424369,6028.03,4.4708,-0.2131,-0.2528,6.8361,168.13
54429610,5278.81,4.5647,0.2636,0.4131,5.0397,132.58
54429755,5185.85,4.7677,-0.0678,-0.0049,5.0962,83.57
54429788,5471.66,4.6346,0.1384,0.1058,6.3424,112.37
54449407,5387.77,4.5255,-0.8301,-0.461,5.9563,99.1
54456826,5961.56,4.0297,-0.0158,-0.1402,10.0819,93.73
54463873,5596.67,4.2905,-0.556,-0.5341,7.896,68.0
54463883,6356.89,4.1491,-0.6257,-0.606,11.1146,78.0
54464925,5427.09,4.0879,0.1511,0.214,7.465,76.29
54465345,4817.63,4.6222,-0.103,-0.0288,19.9112,62.41
54466526,5858.37,4.152,-0.1213,-0.1958,6.9832,77.29
54467341,4976.48,4.4922,-0.1702,0.0418,9.0377,61.89
54467917,5256.05,4.6107,-0.1435,-0.0884,7.4344,96.19
54468857,6085.06,4.1528,-0.3896,-0.3463,10.168,80.47
54469610,5704.67,4.405,0.4529,0.3741,7.2037,127.0
54470384,5638.47,4.2857,0.3612,0.2251,5.6302,77.78
54471795,6481.66,4.2504,-0.1066,-0.4293,29.9737,93.69
54471885,6244.0,4.0259,0.0274,-0.1398,29.9969,341.87
54471900,5040.67,4.6934,-0.2,0.0565,5.4936,277.33
54478106,5238.41,4.6475,0.4655,0.4952,8.2402,77.0
54494122,5224.97,4.6157,-0.0429,-0.0698,10.5666,87.75
54498655,5076.44,4.7482,-0.0057,-0.121,10.5682,76.01
54499925,5826.62,4.4521,0.3697,0.3033,2.4247,87.59
