sdss_id,teff,logg,fe_h,mg_h,v_macro,snr,g_mag,bp_mag,rp_mag,plx,e_plx,gaia_dr3_source_id
54380899,6849.273,4.4342403,0.0431408,-0.2031849,29.997288,263.00443,8.914276,9.123394,8.551487,6.1196394,0.015753834,421460918812474880
54381179,5513.1753,4.5659537,-0.4058554,-0.19748046,1.7545217,75.83025,12.31786,12.702776,11.765824,4.257944,0.010061024,421484828887308416
54381610,6979.1816,4.739648,-0.13230816,-0.18378372,29.981892,145.0355,9.944448,10.162783,9.570125,4.736283,0.013406866,421525132863453824
54381716,4129.7793,4.6684155,-0.5001639,-0.5659357,2.964116,75.604095,13.097993,14.070384,12.1183,11.2432995,0.012325797,421535342004177920
54382194,4526.1953,4.6558633,-0.030008672,-0.025364116,2.0929947,183.6759,11.334396,11.961169,10.581321,12.658294,0.017774742,421580662500717568
54382690,6264.703,4.60446,-0.24659255,-0.33729798,17.342852,151.70258,10.0610485,10.275083,9.641039,5.046772,0.020062935,421624952204135680
54383089,4650.061,4.676687,0.01522602,0.0073331245,3.3073282,460.11948,11.588513,12.21451,10.835704,10.872425,0.015575183,421659964775120512
54383257,4983.5425,4.617776,0.26293546,0.24601711,3.9740076,170.66077,13.127133,13.648445,12.459627,3.754209,0.011556524,421671784525037952
54384153,5145.5654,4.7011375,-0.65804815,-0.46128643,9.246362,106.87412,12.070253,12.543024,11.428706,5.8863463,0.08841907,421737308547507456
54384212,6700.8096,4.343432,0.023507703,0.0120954225,6.416571,173.17676,9.739294,10.010862,9.299892,4.489809,0.012405966,421741358693955840
54384337,4432.3076,4.6470017,-0.058292743,0.090342656,0.1368096,153.81056,13.955014,14.666853,13.133782,4.3253946,0.016377373,421751086802560128
54384398,6176.39,4.1899877,-0.30119246,-0.3361411,29.893759,406.61298,8.156347,8.361544,7.795159,8.864341,0.25145537,421754728934768384
54384703,6063.805,4.648385,0.017963447,0.016994847,1.5974542,142.58954,10.890728,11.208199,10.404819,4.9842896,0.013708641,421778608953882496
54384717,5852.34,4.83385,-0.19798243,-0.12159364,0.11125605,100.582794,11.748424,12.131398,11.195537,4.8672504,0.051964622,421779777184963584
54384917,4685.015,4.7207065,0.028937154,0.030065037,4.430313,128.51425,13.738642,14.3442335,13.000401,3.8963168,0.015133202,421794929827418368
54385169,4044.1794,4.8460574,0.1088319,0.013844454,4.2079268,147.52501,14.426986,15.358667,13.472874,5.220784,0.018437363,421814617957188736
54385622,4335.3857,4.569584,-0.21651463,-0.13233006,4.805608,759.21497,11.055983,11.920041,10.139367,19.50729,0.04779612,421850455165213696
54385706,5570.3535,4.0353074,-0.121848285,-0.2991657,29.997372,253.2497,13.537604,14.315385,12.653333,0.4900938,0.013141714,421856742997282816
54385938,6291.653,4.3882546,-0.20195615,-0.19368352,12.858189,197.84258,9.966016,10.223334,9.545185,5.3792763,0.014159496,421875847012776960
54386116,5432.1274,4.279709,-0.5741306,-0.4032367,2.2157729,160.76787,10.731949,11.04217,10.243372,6.488212,0.012396702,421888899411056000
54386327,5914.982,4.8529034,-0.21301898,-0.19975214,4.8233376,137.43138,11.083721,11.397675,10.599225,5.5754724,0.015362238,421905739986165504
54386397,5607.204,4.5121727,0.13172449,0.12195935,0.9179692,157.63644,11.073005,11.455178,10.523992,5.8589177,0.016882485,421911168824778112
54386478,4765.6357,4.8603907,-1.3728901,-1.5930331,4.9510574,343.3166,14.449979,15.95625,13.252044,14.3085985,0.021183962,421917594095590272
54386548,5480.7656,4.5661287,-0.028883195,0.022915663,4.5158677,83.66766,12.222409,12.674517,11.603768,4.298078,0.022314548,421922881192309120
54386702,4393.016,4.6699963,-0.12503195,-0.08313814,20.701262,371.2185,12.460056,13.186385,11.636234,6.5843806,0.011552024,421935839115358848
54386765,5333.451,4.7491918,-0.29557624,-0.13796698,7.9938054,158.14217,14.0817995,14.661034,13.35054,2.319147,0.04018025,421942951581106816
54386933,5488.4497,4.548413,-0.12904605,-0.103467464,3.4420202,118.743515,11.612953,12.006247,11.0482235,5.718047,0.027711751,421959925291773312
54387197,6375.584,4.297131,-0.15026659,-0.22469172,17.916021,214.08426,9.789765,10.018495,9.405216,5.0090604,0.012502799,421981949884743040
54387226,5606.8677,4.5529466,0.042343967,-0.041180488,0.7197655,86.21635,11.80348,12.177999,11.262951,4.693406,0.10612556,421984385122987392
54387234,5223.31,4.0054426,-0.3219389,-0.106777556,6.3238883,141.85342,13.785182,14.372076,13.0523205,1.0917009,0.013918617,421985145340492160
54387384,4748.7476,4.7074766,-0.27366102,-0.19185162,6.1262727,63.81926,15.707657,16.500092,14.7958145,2.2622273,0.060745347,422000710301742592
54387618,5468.9194,4.3348737,-0.15347774,-0.3023264,6.4613967,115.08845,11.390136,11.730643,10.8877125,4.9920697,0.017772764,422019127122614400
54387752,6885.798,4.638703,-0.33343083,-0.73183006,29.99645,256.99435,8.402891,8.668045,7.9697566,4.7221866,0.016711347,422028301172609024
54387946,5125.417,4.4855847,-0.011057257,0.13404024,5.1649594,286.1223,11.629866,12.0799675,11.018593,6.5137186,0.012762958,422044862567363584
