sdss_id,teff,logg,fe_h,mg_h,v_macro,snr
56298537,5051.61,4.7158,-0.3487,-0.0046,0.262,60.0
54404067,4058.5007,4.8376327,0.03385644,0.042064365,3.087051,62.57787
55112442,4464.42,4.6655,-0.048,-0.0027,7.1363,65.3
55279291,6051.6772,4.4178724,-0.08146725,-0.115861446,26.337097,67.64632
55108775,5476.3643,4.3785825,0.0043857316,0.02814737,3.1980686,70.60559
54814261,5361.733,4.583353,-0.04311473,0.018073255,5.079209,73.257645
55079473,5044.779,4.8122625,-0.31706944,-0.2548137,18.22206,75.28173
54848962,5374.222,4.5855136,-0.015897188,0.012351708,7.0190034,77.10207
55129803,4106.26,4.7379,-0.0307,-0.055,3.7622,79.41
55002387,5732.5073,4.428105,0.012723105,0.06431176,1.9285564,81.53745
54860594,4956.77,4.6139,0.0119,0.0853,4.458,84.02
55917066,4555.9,4.7521,-0.1203,0.0916,3.0477,85.88
54989890,5517.457,4.6808677,-0.022081317,0.058763593,3.7230606,88.1887
54518723,5480.55,4.5956,0.0409,0.0688,7.7272,90.54
54654694,5200.188,4.3071065,-0.10062693,-0.10742652,18.827953,92.82579
56242267,4453.01,4.7089,0.0809,0.0413,2.9787,94.88
55938431,6573.32,4.6564,-0.1341,-0.1383,5.4755,97.07
56265768,5662.84,4.3202,-0.2607,-0.1799,3.7273,99.11
55088270,5440.2896,4.6972246,0.1518818,0.1762542,0.7880441,101.17684
54477122,4202.0454,4.954112,-0.6889378,-0.9600379,4.01405,103.00806
55938260,5131.85,4.5183,0.0226,-0.0113,23.9551,105.05
54857341,6642.4663,4.87759,-0.12931643,-0.32438186,29.975294,107.23591
55311754,5802.2026,4.3034115,-0.44811022,-0.40697566,2.1371844,109.551865
55255119,4944.823,4.9756365,-1.4748718,-2.2313972,8.079928,112.02299
55412293,4955.15,4.5029,-0.0234,0.1979,5.5871,114.4
55938751,5956.8,4.0675,-0.1269,-0.2588,7.4436,116.62
55076083,5421.1494,4.5458164,-0.07162657,-0.03653798,4.8229413,119.03632
56058841,4505.4,4.784,-0.1645,-0.1972,5.9049,121.95
55895687,5662.27,4.4459,-0.1637,-0.0342,5.4484,124.51
55329317,4638.94,4.7157,-0.1632,-0.0732,1.0947,126.94
55939731,4158.13,4.6134,0.0874,0.0346,2.9642,130.0
55966979,5898.46,4.2187,-0.3711,-0.4199,3.5595,133.1
54534702,6203.5894,4.2513123,-0.27722183,-0.3251379,7.638344,136.20715
55938273,4630.29,4.7672,0.0379,0.1555,0.8077,139.72
54956000,4846.1104,4.6191435,0.036773164,0.16292745,2.5319176,143.00584
56304164,5682.92,4.6306,0.3153,0.278,5.5456,146.61
55280403,6164.8755,4.273361,-0.0779046,-0.17650157,6.7147546,150.40894
54949654,5918.829,4.2672453,0.28083384,0.038700063,7.225077,153.8733
55748590,6171.85,4.0025,-0.3388,-0.4176,9.4326,158.44
56047962,4112.55,4.7201,-0.1111,-0.1365,4.6925,162.89
54730357,5573.2974,4.756205,0.20506307,0.15677708,5.2466335,167.4024
55026517,5448.65,4.728829,0.0652402,0.018278724,3.9016364,172.48105
55952619,6356.2,4.1655,-0.3944,-0.4652,11.5371,178.6
55293842,5951.249,4.3365755,8.577746e-06,-0.1992496,17.376793,184.0022
55315463,5211.4243,4.6906486,-0.28178743,-0.18746163,1.0604403,190.18117
55093541,4509.722,4.551653,-0.4327347,-0.17630482,6.860092,197.06023
55939226,5123.78,4.4919,-0.0032,0.0099,4.7092,204.13
55027642,5378.0225,4.521677,-0.08380737,-0.026817085,5.9546013,212.84908
54902458,6084.6313,4.4836264,-0.04494131,-0.1381015,4.60383,222.61229
56044998,4283.42,4.6859,-0.2372,-0.151,0.3293,234.15
55320214,5795.0474,4.509063,-0.051440004,0.04880522,4.0987954,247.67857
56058628,5643.45,4.111,0.2859,0.2497,2.8268,265.88
54709298,5036.24,4.5541,0.0863,0.216,2.225,283.98
56304174,4996.41,4.6371,0.1354,0.1425,5.6983,305.02
55896450,5814.18,4.6545,0.0275,-0.08,6.0866,335.55
54623352,5669.8276,4.5407543,0.18292572,0.18478785,5.5159774,371.50342
55764471,5284.32,4.4081,-0.0035,-0.0733,11.2057,416.53
54867849,5595.44,4.2378,-0.4815,-0.2014,2.0712,493.43
55763995,5342.75,4.7743,0.1899,0.1478,7.2887,664.13
55897460,6214.3,4.1872,-0.4617,-0.4787,11.6564,1020.46
