sdss_id,teff,logg,fe_h,mg_h,v_macro,snr
54380899,6849.27,4.4342,0.0431,-0.2032,29.9973,263.0
54383089,4650.06,4.6767,0.0152,0.0073,3.3073,460.12
54383257,4983.54,4.6178,0.2629,0.246,3.974,170.66
54384337,4432.31,4.647,-0.0583,0.0903,0.1368,153.81
54384917,4685.02,4.7207,0.0289,0.0301,4.4303,128.51
54385169,4044.18,4.8461,0.1088,0.0138,4.2079,147.53
54385706,5570.35,4.0353,-0.1218,-0.2992,29.9974,253.25
54386478,4765.64,4.8604,-1.3729,-1.593,4.9511,343.32
54386702,4393.02,4.67,-0.125,-0.0831,20.7013,371.22
54387234,5223.31,4.0054,-0.3219,-0.1068,6.3239,141.85
54389783,5041.54,4.809,-1.4678,-2.267,4.2101,135.74
54389850,4145.74,4.8909,0.263,0.1921,0.1066,65.36
54393588,4174.08,4.6166,0.0769,0.0497,4.3575,122.27
54393637,5993.93,4.0415,-0.2285,-0.4734,29.7228,82.12
54393854,5669.03,4.4234,-0.0512,-0.0652,5.2251,140.5
54393897,6594.56,4.9704,-0.4288,-0.7254,9.7627,144.86
54398617,4892.91,4.6763,-0.2787,-0.1718,9.5554,115.91
54401594,4863.23,4.6343,-0.1126,-0.0717,7.1288,113.14
54414941,4002.99,4.9183,0.1318,0.1258,0.4021,86.65
54416225,5067.33,4.4049,0.2587,0.276,3.6909,81.24
54420143,4091.04,4.8222,-0.2475,-0.3021,7.4386,88.87
54420368,5243.87,4.6711,0.0638,-0.0151,7.3035,208.43
54421843,4549.88,4.7614,-0.1958,-0.1871,2.2243,99.53
54421985,4833.62,4.6564,-0.0488,0.0066,5.3456,270.84
54423212,4221.97,4.4565,-0.1887,-0.1743,1.875,73.68
54423559,4701.51,4.7256,-0.0413,-0.0079,5.307,71.79
54423703,3700.44,4.5731,-0.9717,-1.0043,3.8167,212.36
54424195,4785.4,4.6598,0.1318,0.1617,8.4201,82.48
54424369,6028.03,4.4708,-0.2131,-0.2528,6.8361,168.13
54429367,4695.67,4.6561,0.0195,-0.0243,8.7142,106.55
54429533,4300.2,4.626,0.0551,-0.0115,5.326,70.58
54429610,5278.81,4.5647,0.2636,0.4131,5.0397,132.58
54429755,5185.85,4.7677,-0.0678,-0.0049,5.0962,83.57
54429788,5471.66,4.6346,0.1384,0.1058,6.3424,112.37
54433236,4729.43,4.525,0.116,0.1229,5.408,94.66
54434057,4661.09,4.7288,0.1722,0.2212,4.1351,73.19
54440561,4642.94,4.8032,-0.6197,-0.3595,6.69,102.44
54443540,4655.41,4.6951,0.1179,0.0519,8.4265,139.4
54449407,5387.77,4.5255,-0.8301,-0.461,5.9563,99.1
54456826,5961.56,4.0297,-0.0158,-0.1402,10.0819,93.73
54459448,4067.84,4.7461,0.2485,0.1718,0.8992,98.34
54460402,6746.8,4.5035,-1.2253,-2.2059,24.1361,214.62
54463873,5596.67,4.2905,-0.556,-0.5341,7.896,68.0
54463883,6356.89,4.1491,-0.6257,-0.606,11.1146,78.0
54464028,4010.89,4.7795,-0.0255,-0.101,5.2469,83.99
54464925,5427.09,4.0879,0.1511,0.214,7.465,76.29
54465279,4475.56,4.7773,-0.1171,-0.0846,3.4955,82.37
54465345,4817.63,4.6222,-0.103,-0.0288,19.9112,62.41
54465824,4111.52,4.7857,0.0992,0.114,1.6645,65.18
54466526,5858.37,4.152,-0.1213,-0.1958,6.9832,77.29
54466808,4719.58,4.6858,-0.1473,-0.1151,9.7168,126.96
54467341,4976.48,4.4922,-0.1702,0.0418,9.0377,61.89
54467620,4129.69,4.6077,0.2788,0.2123,10.0387,102.81
54467917,5256.05,4.6107,-0.1435,-0.0884,7.4344,96.19
54468012,4631.46,4.7674,0.1952,0.2204,4.9796,102.8
54468817,4491.84,4.6753,-0.0213,-0.081,6.0052,147.12
54468857,6085.06,4.1528,-0.3896,-0.3463,10.168,80.47
54469227,4787.97,4.608,0.0294,-0.1391,16.0457,99.76
54469610,5704.67,4.405,0.4529,0.3741,7.2037,127.0
54469672,4334.86,4.6456,-0.4481,-0.2766,4.9386,70.41
54470369,4703.0,4.5068,-0.0577,-0.0626,8.8809,84.42
54470384,5638.47,4.2857,0.3612,0.2251,5.6302,77.78
54470746,4118.69,4.5667,0.1422,0.0919,3.4852,78.88
54471436,4511.01,4.5801,-0.096,-0.0836,10.742,119.6
54471795,6481.66,4.2504,-0.1066,-0.4293,29.9737,93.69
54471885,6244.0,4.0259,0.0274,-0.1398,29.9969,341.87
54471900,5040.67,4.6934,-0.2,0.0565,5.4936,277.33
54472241,4916.86,4.9993,-1.4533,-2.2328,7.4879,491.25
54474739,4350.43,4.639,-0.0717,0.0559,5.0194,223.07
54478106,5238.41,4.6475,0.4655,0.4952,8.2402,77.0
54494122,5224.97,4.6157,-0.0429,-0.0698,10.5666,87.75
