apogee_id,sdss_id,teff,logg,fe_h,mg_h,mg_fe,v_macro,snr,downloaded
2M13492076+3344340,61434605,6159.65,4.2977,-0.2714,-0.3080,-0.0366,17.4260,3102.39,True
2M13021542+7229072,62686532,6397.70,4.5196,-0.0012,-0.1433,-0.1421,10.7877,3070.02,True
2M15140685+0143283,88915291,6871.12,4.2167,-0.4473,-0.7085,-0.2612,29.8504,2663.26,True
2M14362498+5115348,62218427,6185.17,4.5826,0.0878,-0.0736,-0.1614,16.8783,2611.20,True
2M14133318+5230287,62238948,7308.55,4.2061,-0.0541,-0.2109,-0.1567,29.9895,2482.83,True
2M18444929-0336149,87030277,6623.72,4.0808,-0.1806,-0.6149,-0.4342,29.9970,2386.14,True
2M15162793+0004334,88907856,6300.02,4.3188,-0.0931,-0.2527,-0.1597,29.9974,2383.26,True
2M03434101+3237320,116015623,6417.46,4.7859,-0.2033,-0.5972,-0.3939,20.9908,2148.56,True
2M13480279+2630555,61386086,7087.19,4.2016,-0.7566,-1.5191,-0.7626,29.9614,1972.24,False
2M12234182+2636054,80836051,6038.86,4.7898,-0.0921,-0.2601,-0.1680,9.7574,1886.99,True
2M15041347+3640585,60274703,5938.63,4.1597,-0.4447,-0.4049,0.0398,9.7363,1814.37,True
2M11533556+0104367,79755389,5999.19,4.2306,-0.1796,-0.2140,-0.0344,9.4930,1809.72,True
2M14264827-0510400,78907561,5624.74,4.3682,0.4577,0.3565,-0.1012,6.0610,1750.82,True
2M12482570+2747021,80604198,5692.88,4.2357,-0.5375,-0.4597,0.0778,9.5434,1743.04,True
2M10573997+4745290,57260616,6102.35,4.2676,-0.3143,-0.4606,-0.1462,11.8962,1709.84,True
2M08533445+1209352,55939425,7232.68,4.3574,0.1380,-0.2690,-0.4070,29.9769,1621.94,True
2M03421757+3110045,116010288,6839.96,4.0977,-0.5435,-0.9578,-0.4143,22.1743,1607.62,True
2M15055682+2216202,60084730,6503.80,4.6600,-0.2275,-0.5582,-0.3307,21.4163,1605.75,True
2M11510409+3509470,80951065,5931.82,4.5181,0.0492,-0.0873,-0.1365,9.2565,1565.44,True
2M10370506+2541318,56709164,6486.22,4.5462,-0.0891,-0.2445,-0.1554,29.9968,1552.31,True
2M00065234+0151397,71371574,6392.93,4.5126,-0.2158,-0.5295,-0.3137,19.7490,1505.98,True
2M17142918+4330426,60809425,6852.91,3.9985,-0.3971,-1.2099,-0.8128,29.7269,1498.77,True
2M11521538+0014501,79750835,6672.71,4.5831,-0.1570,-0.5904,-0.4334,29.9693,1492.61,True
2M14161940+5325273,62239820,5032.04,4.7727,-0.3889,-0.3130,0.0759,9.8096,1457.55,True
2M13094179+5732447,62017878,4851.59,4.5246,-0.0632,-0.0305,0.0327,9.8787,1412.68,True
