apogee_id,type,teff,logg,feh,q,q_dyn,gamma
2M00003968+5722329,SB2,4517,4.62,0.05,0.88,,
2M00012717+0128193,SB2,5048,4.51,0.07,0.75,,
2M00023179+1521164,SB2,4589,4.37,-0.20,0.99,0.84,-0.92
2M00024073+6354560,SB2,5664,4.26,0.18,0.67,,
2M00024876-0018006,SB2,5167,4.68,-0.08,0.89,,
2M00030654-0000402,SB2,4289,4.44,0.11,1.00,,
2M00031233+7034403,SB2,4435,4.73,-0.13,0.91,,
2M00031558+0151388,SB2,4843,4.57,-0.19,0.83,,
2M00050265+0116236,SB2,4773,4.54,-0.16,0.88,0.86,16.53
2M00051932+0036101,SB2,4950,4.48,-0.16,0.91,,
2M00052225-0004062,SB2,4553,4.22,-0.25,0.98,,
2M00055795+0054526,SB2,4529,4.59,-0.00,0.88,,
2M00062867+6955129,SB2,5038,4.09,-0.09,1.00,1.00,-28.90
2M00065234+0151397,SB2,6277,4.29,0.01,0.93,0.92,-10.05
2M00065508+0154022,SB2,4708,4.47,0.24,0.90,0.86,-50.40
2M00092551-0017119,SB2,4527,4.64,-0.48,0.94,,
2M00093221+5753350,SB2,4430,4.34,-0.36,0.99,,
2M00095079+0047248,SB2,4603,4.29,0.17,0.99,0.80,-34.85
2M00104067+5842132,SB2,4362,4.49,-0.06,0.97,,
2M00150792+6559126,SB2,5197,4.01,-0.30,1.00,,
2M00170073+6929247,SB2,5083,4.51,0.15,0.79,,
2M00170781+8551505,SB2,5739,4.42,-0.55,1.00,1.01,6.26
2M00183697+5828599,SB2,4278,4.43,-0.09,0.97,,
2M00194111+8548593,SB2,4913,4.61,-0.28,0.83,,
2M00211304+6706090,SB2,5379,4.52,0.15,0.77,,
2M00233719+6233527,SB2,6195,4.71,0.17,0.63,0.79,-41.79
2M00274757+6956505,SB2,5813,4.85,-0.02,0.86,,
2M00280680+5558136,SB2,5427,4.65,-0.06,0.75,0.79,19.51
2M00283203+5505277,SB2,5917,4.50,-0.13,0.63,,
2M00283263+6708313,SB2,4927,4.66,-0.08,0.86,,
2M00294534+6215257,SB2,5338,4.15,0.05,0.73,,
2M00304380+6752210,SB2,6178,4.26,-0.23,0.69,,
2M00305674+6010027,SB2,4814,4.58,0.06,0.82,,
2M00305850+6342410,SB2,5429,4.37,-0.11,0.86,,
2M00312947+6130354,SB2,5589,4.73,0.05,0.65,,
2M00314470+5119263,SB2,4556,4.61,-0.03,0.98,0.63,-1.53
2M00314654+5055545,SB2,4512,4.58,-0.65,0.99,,
2M00360002+5519491,SB2,5502,4.36,0.07,0.93,,
2M00365613+5500091,SB2,5277,4.33,0.10,0.74,,
2M00370544+6247057,SB2,5809,4.31,-0.47,0.76,0.63,-16.95
2M00380708+1751312,SB2,5197,4.47,-0.41,0.82,,
2M00383009+5821063,SB2,6127,4.86,0.28,0.98,,
2M00392934+8500595,SB2,5214,4.33,-0.35,1.00,0.84,-47.54
2M00395441+1658301,SB2,5475,4.39,0.00,0.76,,
2M00411929+1718359,SB2,5867,4.68,-0.10,0.63,0.76,0.90
2M00415224+1751216,SB2,6521,4.29,-0.19,0.92,,
2M00422971+1847287,SB2,4773,4.62,-0.40,0.84,,
2M00435946+1808423,SB2,6445,4.00,-0.12,0.65,0.63,-2.68
2M00452930+1819515,SB2,5462,4.64,-0.15,0.83,,
2M00462111+1758470,SB2,6386,4.13,-0.23,1.00,1.00,-32.84
2M00474928+4223057,SB2,5403,4.43,0.10,0.82,,
2M00475315+8504023,SB2,6887,4.56,-0.06,0.95,,
2M00483982+1750470,SB2,5140,4.03,-0.39,0.82,,
2M00493147+8500016,SB2,4731,4.40,-0.32,1.00,0.85,-20.66
2M00551101+8522510,SB2,4856,4.37,-0.05,0.85,,
2M00581608+8528569,SB2,4867,4.39,0.14,0.84,,
2M01004285+8624021,SB2,6009,4.15,-0.15,0.88,0.87,-6.02
2M01013134+8424428,SB2,4458,4.66,0.09,0.97,0.97,-0.10
2M01085752+8445142,SB2,5912,4.87,-0.16,0.92,0.92,6.05
2M01104396+6616550,SB2,5771,4.81,0.08,0.76,,
2M01153675+8456400,SB2,4232,4.49,-0.57,1.00,1.22,-6.64
2M01184818+5831387,SB2,5393,4.62,0.04,0.80,,
