sdss_id,reduced_chi2
54789697,2972.1166
54397048,2208.5544
54787470,1983.1785
54649172,1902.8379
54789565,1643.6828
54625568,1594.9089
54766911,1502.8080
55769211,1339.6519
54794479,1332.0667
54392424,1271.6413
54624036,1170.8872
54601155,1160.6667
54601164,1141.8664
54789690,1104.4100
54959224,1077.2576
54389733,1076.1987
54789848,1055.6184
54396584,1049.4840
54397695,1022.6608
54789617,1000.1936
54622671,982.0610
54763893,976.7949
54397535,946.2759
54763356,932.0433
54766951,870.5075
54398010,870.3983
55779398,840.0710
54767379,797.0566
54622804,782.7684
54793074,773.3427
54766591,763.2604
54763727,755.6317
54790716,755.4899
55759812,746.8713
54766998,715.5721
54968486,679.0700
55769246,664.3245
54834050,620.3422
54763916,549.0827
54397774,517.1581
54392763,490.6669
54398137,479.3265
55817102,438.3627
55450975,415.8171
54773928,397.2465
54773634,377.0164
54774198,367.3996
54624666,367.2070
54398490,365.1073
55760369,349.9408
54765245,345.7348
54392204,325.2324
54397282,321.6997
54801163,310.1625
54766488,300.5859
54649030,294.3227
54752949,293.2970
54794526,287.4197
54623423,280.8580
54397229,273.6607
54763002,271.6326
54787610,266.7230
56295743,265.0533
54773751,252.1192
55817192,251.4152
55817211,241.9256
54797924,218.9962
54399598,217.6493
54400692,216.5219
55764151,206.6034
54793036,204.8081
54772934,203.9000
54776021,193.7643
54505373,192.2138
54397833,182.4742
54399573,180.0736
54395765,177.1810
54397860,172.3478
54789261,168.4890
54397382,167.9160
54624833,153.2400
55817068,151.5030
54650123,145.9717
54743731,145.4523
54400117,144.9359
54399134,142.0308
54397866,139.7296
54788498,139.1290
54650628,136.0536
54399205,131.4843
54752920,130.6539
54650548,130.4383
54949968,126.2448
54397488,126.0353
54399167,124.7085
54649974,124.6303
55779027,118.9815
55311515,118.2370
54793555,117.8134
54399173,115.5856
54999387,115.4022
54385622,114.2293
55299645,113.6642
54949373,112.7007
54793596,112.6640
54395003,112.6277
54397291,111.2227
54396734,110.8036
54399663,102.5256
54399693,99.7457
54650498,93.2962
54792730,92.6282
54683925,88.3761
54880071,88.0078
54801166,85.4931
54790726,79.1824
54395716,77.7580
54395451,77.5087
54889040,76.2259
54394371,73.4795
54460402,71.6705
54789498,70.0635
54601120,65.7646
54837402,64.9458
54624386,64.2760
54790908,63.9689
56294661,61.7350
55768866,60.1344
54627926,59.2201
54798274,57.7717
55021344,56.6263
54395405,56.2346
54394415,55.3178
55134877,53.9997
54401108,53.6609
54395162,53.5360
55761833,53.1561
54795685,52.1364
55200046,50.9864
55797136,50.9002
54762759,50.1985
55788757,47.0995
55966508,46.9366
55746858,46.8332
54651078,46.1672
55217161,45.9835
54394142,45.2931
54787832,45.2106
54650725,44.9394
55310047,44.7153
54394439,44.0104
54795098,43.1694
54768053,43.1327
54738170,42.8211
54776241,42.4193
55920788,41.8088
54741999,40.4625
55747394,40.3209
55301422,40.3107
55771406,39.7388
54668042,38.9109
55789522,38.2068
54788754,38.0771
54799652,36.7797
55788509,36.6425
56303754,35.4640
55769960,35.0103
54853818,34.9426
54865099,34.8975
54768006,34.5570
55307714,34.4740
55324897,34.1977
54627323,33.8913
54737931,33.7324
54479067,33.6490
54795414,33.4866
54649775,33.4411
55780814,32.5644
54791013,32.4235
54396709,32.4167
54401208,32.1877
54399832,31.9776
54930250,31.8798
55304169,31.4890
55764287,31.4545
54879645,31.3454
54792063,31.1077
54842152,31.0589
55073330,30.9777
54400253,30.8212
54745482,30.0880
54749494,29.7929
54653691,29.7391
55958219,29.5181
55780644,29.5143
54623286,29.4527
55218311,29.4151
55750563,29.2816
54873275,28.9815
54747605,28.9697
54994430,28.8854
55762288,28.7714
55049861,27.7377
54992113,27.6514
54656432,27.2126
56126086,27.0794
55747525,27.0319
55789611,26.4953
55213455,26.2513
55482824,26.1096
54627815,25.5781
56302936,25.3171
54953263,25.2233
54793690,25.1660
54515768,25.1488
55024142,25.0441
55011460,24.3296
55114940,24.2630
56301204,24.2199
54472241,24.1260
55774407,23.8408
54856422,23.8277
56202909,23.8013
54599678,23.7313
54792204,23.6128
54732888,23.5270
54623781,23.4310
54753056,23.3066
54883990,23.2518
54702146,23.2301
55127639,22.9898
55897061,22.7152
54401622,22.4880
55750466,22.2567
55256914,22.2456
54891338,22.1815
55912549,21.9985
55177084,21.9423
54795022,21.8873
54834231,21.8484
54888743,21.6297
56281897,21.6143
54650047,21.0698
54841367,21.0154
55776736,20.7802
54804295,20.5750
54776123,20.5691
54601052,20.0318
54682101,19.9778
54942471,19.8386
54795174,19.8248
54795282,19.4376
55919976,19.3864
54797984,19.3758
55200840,19.3690
54853392,19.2653
54630076,19.2387
55218137,19.1619
56310343,19.1606
54653258,19.0981
54788187,18.9317
55662177,18.8989
54888466,18.8782
55127018,18.8626
55126507,18.5477
54946816,18.2137
55303737,18.0612
56046300,17.8566
54796972,17.8435
54845899,17.8251
54796247,17.6864
54795978,17.6071
54740981,17.5580
54642121,17.5444
55938404,17.3977
54400337,17.3652
55047079,17.3306
54791435,17.1380
56304329,17.0947
54817615,17.0829
55055437,16.9623
54874673,16.8088
54572444,16.7926
55334479,16.7200
55014970,16.6906
55940396,16.6636
54795669,16.2537
56282513,16.1346
55096551,16.1323
55067393,15.9619
54656369,15.8908
55248213,15.7274
54768292,15.7228
